city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
AUS,2026-07-05,KXHIGHAUS-26JUL05-T94,yes,0.084,0.02,42,0.063,False,-0.9
AUS,2026-07-05,KXHIGHAUS-26JUL05-B98.5,no,0.745,0.5,75,0.228,True,36.18
AUS,2026-07-05,KXHIGHAUS-26JUL05-B96.5,no,0.679,0.59,67,0.072,False,-40.67
AUS,2026-07-05,KXHIGHAUS-26JUL05-B94.5,yes,0.21,0.06,75,0.146,False,-4.8
AUS,2026-07-05,KXHIGHAUS-26JUL05-B100.5,yes,0.105,0.05,95,0.051,False,-5.07
AUS,2026-07-04,KXHIGHAUS-26JUL04-T95,yes,0.214,0.05,73,0.161,False,-3.9
AUS,2026-07-04,KXHIGHAUS-26JUL04-B99.5,yes,0.147,0.11,82,0.03,False,-9.59
AUS,2026-07-04,KXHIGHAUS-26JUL04-B97.5,no,0.707,0.42,95,0.27,False,-41.52
AUS,2026-07-03,KXHIGHAUS-26JUL03-T94,yes,0.294,0.03,13,0.262,False,-0.42
AUS,2026-07-03,KXHIGHAUS-26JUL03-B98.5,no,0.895,0.79,21,0.094,False,-16.84
AUS,2026-07-03,KXHIGHAUS-26JUL03-B96.5,no,0.745,0.33,42,0.4,True,27.48
AUS,2026-07-03,KXHIGHAUS-26JUL03-B94.5,yes,0.321,0.13,65,0.183,False,-8.97
AUS,2026-07-02,KXHIGHAUS-26JUL02-B99.5,yes,0.057,0.02,3,0.035,False,-0.07
AUS,2026-07-02,KXHIGHAUS-26JUL02-B97.5,no,0.815,0.66,53,0.139,True,17.18
AUS,2026-07-02,KXHIGHAUS-26JUL02-B95.5,no,0.686,0.39,32,0.279,False,-13.02
AUS,2026-07-02,KXHIGHAUS-26JUL02-B93.5,yes,0.276,0.08,77,0.191,False,-6.56
AUS,2026-07-01,KXHIGHAUS-26JUL01-T93,yes,0.214,0.04,9,0.172,False,-0.39
AUS,2026-07-01,KXHIGHAUS-26JUL01-B97.5,no,0.853,0.72,49,0.119,True,13.02
AUS,2026-07-01,KXHIGHAUS-26JUL01-B95.5,no,0.707,0.39,29,0.301,False,-11.8
AUS,2026-07-01,KXHIGHAUS-26JUL01-B93.5,yes,0.303,0.1,45,0.197,False,-4.79
AUS,2026-06-30,KXHIGHAUS-26JUN30-T93,yes,0.266,0.03,8,0.234,False,-0.26
AUS,2026-06-30,KXHIGHAUS-26JUN30-B97.5,no,0.882,0.75,43,0.119,True,10.18
AUS,2026-06-30,KXHIGHAUS-26JUN30-B95.5,no,0.731,0.39,61,0.325,False,-24.81
AUS,2026-06-30,KXHIGHAUS-26JUN30-B93.5,yes,0.317,0.16,162,0.148,False,-27.45
AUS,2026-06-29,KXHIGHAUS-26JUN29-T96,yes,0.721,0.23,76,0.479,False,-18.43
AUS,2026-06-29,KXHIGHAUS-26JUN29-B96.5,no,0.799,0.41,92,0.372,False,-39.28
AUS,2026-06-28,KXHIGHAUS-26JUN28-T94,yes,0.663,0.05,12,0.609,False,-0.64
AUS,2026-06-28,KXHIGHAUS-26JUN28-B98.5,no,0.983,0.94,6,0.039,True,0.33
AUS,2026-06-28,KXHIGHAUS-26JUN28-B96.5,no,0.913,0.47,85,0.426,True,43.56
AUS,2026-06-28,KXHIGHAUS-26JUN28-B94.5,no,0.767,0.63,63,0.121,False,-40.72
AUS,2026-06-27,KXHIGHAUS-26JUN27-T94,yes,0.632,0.06,91,0.568,False,-5.82
AUS,2026-06-27,KXHIGHAUS-26JUN27-B96.5,no,0.902,0.6,44,0.285,True,16.86
AUS,2026-06-27,KXHIGHAUS-26JUN27-B94.5,no,0.752,0.45,44,0.285,False,-20.57
AUS,2026-06-26,KXHIGHAUS-26JUN26-T94,yes,0.663,0.09,121,0.567,False,-11.59
AUS,2026-06-26,KXHIGHAUS-26JUN26-B96.5,no,0.913,0.72,54,0.179,True,14.35
AUS,2026-06-26,KXHIGHAUS-26JUN26-B94.5,no,0.767,0.45,9,0.3,False,-4.21
AUS,2026-06-25,KXHIGHAUS-26JUN25-T93,yes,0.678,0.29,84,0.373,False,-25.58
