city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
CHI,2026-06-24,KXHIGHCHI-26JUN24-B81.5,yes,0.07,0.03,69,0.038,False,-2.22
CHI,2026-06-24,KXHIGHCHI-26JUN24-B77.5,no,0.746,0.56,71,0.169,True,30.01
CHI,2026-06-23,KXHIGHCHI-26JUN23-T70,yes,0.249,0.02,106,0.227,False,-2.27
CHI,2026-06-23,KXHIGHCHI-26JUN23-B74.5,no,0.839,0.51,78,0.311,True,36.85
CHI,2026-06-23,KXHIGHCHI-26JUN23-B72.5,no,0.748,0.6,66,0.132,False,-40.71
CHI,2026-06-23,KXHIGHCHI-26JUN23-B70.5,yes,0.252,0.07,110,0.177,False,-8.21
CHI,2026-06-22,KXHIGHCHI-26JUN22-T68,yes,0.294,0.02,14,0.272,False,-0.3
CHI,2026-06-22,KXHIGHCHI-26JUN22-B72.5,no,0.86,0.62,54,0.224,False,-34.38
CHI,2026-06-22,KXHIGHCHI-26JUN22-B70.5,no,0.762,0.54,20,0.204,True,8.85
CHI,2026-06-22,KXHIGHCHI-26JUN22-B68.5,yes,0.261,0.1,112,0.155,False,-11.91
CHI,2026-06-21,KXHIGHCHI-26JUN21-T69,yes,0.163,0.02,288,0.141,False,-6.16
CHI,2026-06-21,KXHIGHCHI-26JUN21-B73.5,no,0.792,0.56,71,0.215,True,30.01
CHI,2026-06-21,KXHIGHCHI-26JUN21-B71.5,no,0.734,0.62,64,0.098,False,-40.74
CHI,2026-06-21,KXHIGHCHI-26JUN21-B69.5,yes,0.218,0.02,857,0.197,False,-18.32
CHI,2026-06-20,KXHIGHCHI-26JUN20-B82.5,yes,0.091,0.03,3,0.058,False,-0.1
CHI,2026-06-20,KXHIGHCHI-26JUN20-B80.5,yes,0.193,0.04,319,0.15,False,-13.62
CHI,2026-06-20,KXHIGHCHI-26JUN20-B78.5,no,0.736,0.46,77,0.259,True,40.24
CHI,2026-06-19,KXHIGHCHI-26JUN19-T74,yes,0.093,0.02,42,0.071,False,-0.9
CHI,2026-06-19,KXHIGHCHI-26JUN19-B80.5,yes,0.156,0.07,473,0.081,False,-35.27
CHI,2026-06-19,KXHIGHCHI-26JUN19-B78.5,no,0.751,0.55,23,0.184,True,9.95
CHI,2026-06-19,KXHIGHCHI-26JUN19-B76.5,no,0.746,0.63,46,0.099,False,-29.74
CHI,2026-06-19,KXHIGHCHI-26JUN19-B74.5,yes,0.167,0.07,128,0.092,False,-9.55
CHI,2026-06-18,KXHIGHCHI-26JUN18-T71,yes,0.447,0.07,143,0.372,False,-10.67
CHI,2026-06-18,KXHIGHCHI-26JUN18-B75.5,no,0.918,0.84,47,0.069,True,7.07
CHI,2026-06-18,KXHIGHCHI-26JUN18-B73.5,no,0.818,0.48,66,0.32,False,-32.84
CHI,2026-06-17,KXHIGHCHI-26JUN17-T74,yes,0.11,0.07,47,0.036,False,-3.51
CHI,2026-06-17,KXHIGHCHI-26JUN17-B73.5,yes,0.182,0.09,150,0.087,False,-14.36
CHI,2026-06-17,KXHIGHCHI-26JUN17-B69.5,no,0.761,0.67,59,0.076,True,18.55
CHI,2026-06-17,KXHIGHCHI-26JUN17-B67.5,no,0.86,0.81,30,0.039,True,5.37
CHI,2026-06-16,KXHIGHCHI-26JUN16-T78,yes,0.17,0.04,235,0.128,False,-10.04
CHI,2026-06-16,KXHIGHCHI-26JUN16-B77.5,yes,0.222,0.18,222,0.032,True,179.74
CHI,2026-06-16,KXHIGHCHI-26JUN16-B75.5,no,0.735,0.56,34,0.157,True,14.37
CHI,2026-06-16,KXHIGHCHI-26JUN16-B73.5,no,0.796,0.71,56,0.072,True,15.43
CHI,2026-06-15,KXHIGHCHI-26JUN15-T81,yes,0.048,0.02,84,0.026,False,-1.8
CHI,2026-06-15,KXHIGHCHI-26JUN15-T74,yes,0.146,0.05,350,0.093,False,-18.67
CHI,2026-06-15,KXHIGHCHI-26JUN15-B80.5,yes,0.114,0.03,31,0.082,False,-1.0
CHI,2026-06-15,KXHIGHCHI-26JUN15-B78.5,yes,0.217,0.05,151,0.164,False,-8.06
CHI,2026-06-15,KXHIGHCHI-26JUN15-B76.5,no,0.734,0.56,71,0.157,False,-40.99
CHI,2026-06-15,KXHIGHCHI-26JUN15-B74.5,no,0.792,0.56,71,0.214,True,30.01
CHI,2026-06-14,KXHIGHCHI-26JUN14-T76,yes,0.067,0.02,3,0.046,False,-0.07
CHI,2026-06-14,KXHIGHCHI-26JUN14-T69,yes,0.111,0.02,223,0.09,False,-4.77
CHI,2026-06-14,KXHIGHCHI-26JUN14-B75.5,yes,0.14,0.03,16,0.108,False,-0.52
CHI,2026-06-14,KXHIGHCHI-26JUN14-B73.5,yes,0.238,0.2,78,0.027,False,-16.48
CHI,2026-06-14,KXHIGHCHI-26JUN14-B69.5,no,0.817,0.48,83,0.32,True,41.7
CHI,2026-06-13,KXHIGHCHI-26JUN13-T89,yes,0.067,0.02,3,0.046,False,-0.07
CHI,2026-06-13,KXHIGHCHI-26JUN13-T82,yes,0.111,0.02,85,0.09,False,-1.82
CHI,2026-06-13,KXHIGHCHI-26JUN13-B88.5,yes,0.14,0.07,36,0.065,False,-2.69
CHI,2026-06-13,KXHIGHCHI-26JUN13-B86.5,no,0.762,0.41,85,0.335,True,48.71
