proxyWallet,asset,conditionId,size,avgPrice,initialValue,currentValue,cashPnl,percentPnl,totalBought,realizedPnl,percentRealizedPnl,curPrice,redeemable,mergeable,title,slug,icon,eventId,eventSlug,outcome,outcomeIndex,oppositeOutcome,oppositeAsset,endDate,negativeRisk,is_weather,resolved
0xb40e89677d59665d5188541ad860450a6e2a7cc9,42419324625565265688833438097966017791661184929086640086616211119004425225909,0x0ace7a7d1dc7514550512ae0c6d3b181cb401501320893ea45266f99b5dcdef0,129.4144,0.1345,17.407,0.0,-17.407,-99.9999,352.9346,81.6952,-100.0,0.0,True,False,Will the highest temperature in Guangzhou be 29°C on July 7?,highest-temperature-in-guangzhou-on-july-7-2026-29c,https://polymarket-upload.s3.us-east-2.amazonaws.com/guangzhou-432bb47dad.jpg,668442,highest-temperature-in-guangzhou-on-july-7-2026,Yes,0,No,34474032417081535085684261083883429592623417187897015069498166064386586812392,2026-07-07,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,86341656110063018692438406228278070680598063138081723136257969602765966371818,0x9cc10dac04950ceac9ee8ec77f5841d70cb7157746ddf5a2824b9996473e50df,129.0407,0.1916,24.727,0.0645,-24.6625,-99.7389,129.0407,0.0,-99.7391,0.0005,False,True,Will the highest temperature in Buenos Aires be 13°C on July 22?,highest-temperature-in-buenos-aires-on-july-22-2026-13c,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-highest-temperature-in-buenos-aires-be-32-c-or-higher-on-december-6-etNh-JFGhdrt.jpg,727264,highest-temperature-in-buenos-aires-on-july-22-2026,Yes,0,No,46809973685884805913880904628927992378202186475812360982940442547557464408545,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,44671522289251846139884679948841786496199854980396981780341416502905962343336,0x2c0febfae1214f1a85b6f9a39f4c74523ed5217590eb246857d671d7861b35fe,128.9842,0.3689,47.5937,51.3357,3.7419,7.8621,128.9842,0.0,7.8622,0.398,False,True,Will the highest temperature in Hong Kong be 34°C on July 23?,highest-temperature-in-hong-kong-on-july-23-2026-34c,https://polymarket-upload.s3.us-east-2.amazonaws.com/hongkong-ae9cc75f37.jpg,727803,highest-temperature-in-hong-kong-on-july-23-2026,Yes,0,No,80270372288514892122229303181424592994977341771902366596528480848577129708762,2026-07-23,True,True,False
0xb40e89677d59665d5188541ad860450a6e2a7cc9,32136524188747151496621276275424124697387762749904139457798356064837892320288,0xd28ce1d16a70af76393d6d3218994ce2b1dcd920595a64dc18a675037bede173,128.32,0.4895,62.8177,72.4879,9.6701,15.3938,128.32,0.0,15.3939,0.5649,False,True,Will the highest temperature in Hong Kong be 33°C on July 23?,highest-temperature-in-hong-kong-on-july-23-2026-33c,https://polymarket-upload.s3.us-east-2.amazonaws.com/hongkong-ae9cc75f37.jpg,727803,highest-temperature-in-hong-kong-on-july-23-2026,No,1,Yes,47920761005770657940717260598300852868308806037204982591325925438807244745966,2026-07-23,True,True,False
0xb40e89677d59665d5188541ad860450a6e2a7cc9,455456618765923371624376664497177025988815980474470743574726756630788525196,0x2e2f7e725b6f1320a4e18b010ce075620a5ed41a9db38af85302dba80012bd11,128.0593,0.3821,48.9363,0.064,-48.8723,-99.8691,128.0593,0.0,-99.8692,0.0005,False,True,Will the highest temperature in Houston be between 100-101°F on July 22?,highest-temperature-in-houston-on-july-22-2026-100-101f,https://polymarket-upload.s3.us-east-2.amazonaws.com/houston-ef6084a9ac.jpg,727281,highest-temperature-in-houston-on-july-22-2026,Yes,0,No,25479707158278973108314300748319893053284234785463414510609177581650951627927,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,70118974783014261064864972768761598236899201681484957623599645490295235549439,0xf9dcb7fc84423f5062c65f454c1e0cabffe3773a80f486639da65c11ae3c1376,127.9755,0.3951,50.5701,0.3839,-50.1862,-99.2407,127.9755,0.0,-99.2408,0.003,False,True,Will the highest temperature in Austin be between 104-105°F on July 22?,highest-temperature-in-austin-on-july-22-2026-104-105f,https://polymarket-upload.s3.us-east-2.amazonaws.com/austin-b18a80e4a0.jpg,727279,highest-temperature-in-austin-on-july-22-2026,Yes,0,No,45435932622892334384622584917563054638340296258383975416359980209512281752236,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,96050229458924659072618027709145865069828811866061327859456588787889224087401,0x758401c4bea3839337d46a6ef8fcc0a1471e908597a5c9a669bab26f629dfe66,126.0248,0.0927,11.6845,0.0,-11.6845,-99.9998,723.4992,243.3417,-100.0,0.0,True,False,Will the highest temperature in Hong Kong be 32°C on July 3?,highest-temperature-in-hong-kong-on-july-3-2026-32c,https://polymarket-upload.s3.us-east-2.amazonaws.com/hongkong-ae9cc75f37.jpg,653822,highest-temperature-in-hong-kong-on-july-3-2026,Yes,0,No,91026362889881921387497499480218521599858272943122680382588168778946330284833,2026-07-03,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,84260492725577514177781657014243548664027366624085966708646270436950607907904,0xde52f97ee575909bc9dafaf6952d184aa8a6d4236e1a3b5c77e333dd9b7fa0fa,125.8511,0.6489,81.6687,125.7882,44.1194,54.0223,125.8511,0.0,54.0224,0.9995,False,True,Will the highest temperature in Chicago be between 70-71°F on July 22?,highest-temperature-in-chicago-on-july-22-2026-70-71f,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-chicago-on-december-5-IoEGq9msnWg6.jpg,727278,highest-temperature-in-chicago-on-july-22-2026,No,1,Yes,22727806163696694790806264017200857098878684163066092107894161817493895897430,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,94499836553381539996185664920892450001042851103232610648129497940446950255442,0xf9ab326f53567a178234e3102ef528139934a3cdf68ed1fa54029220c31aa8bd,124.4173,0.678,84.3591,0.0622,-84.2969,-99.9261,124.4173,0.0,-99.9262,0.0005,False,True,Will the highest temperature in Buenos Aires be 15°C on July 22?,highest-temperature-in-buenos-aires-on-july-22-2026-15c,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-highest-temperature-in-buenos-aires-be-32-c-or-higher-on-december-6-etNh-JFGhdrt.jpg,727264,highest-temperature-in-buenos-aires-on-july-22-2026,No,1,Yes,53993293129008242951368444401437740774794601193063269700982577625373830161999,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,70985782570338059459956815659602833155859850916245835120340153117086526033734,0x07f49bab23d45720063809c1ee38e7c0f3fbb3475c4960bd927a9f81e998b13f,123.8054,0.1628,20.166,0.0,-20.166,-99.9997,571.8223,164.2027,-100.0,0.0,True,False,Will the highest temperature in Shenzhen be 26°C on July 7?,highest-temperature-in-shenzhen-on-july-7-2026-26c,https://polymarket-upload.s3.us-east-2.amazonaws.com/shenzhen-cf834873c6.jpg,668434,highest-temperature-in-shenzhen-on-july-7-2026,Yes,0,No,85260665818503849003982868023016493431203030039157726208074071854626935579401,2026-07-07,True,True,True
