wallets,n_wallets,bet_size,peak_concurrent,peak_capital,fits_bankroll,total_trades,active_weeks,timespan_weeks,weekly_mean,weekly_time_avg,weekly_median,weekly_p25,weekly_p75,weekly_min,weekly_max,pct_profitable_weeks,total_pnl
"('0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",2,40,49,1960,True,793,41,97.3,411.7,173.51,111.3,-9.72,581.58,-427.81,2744.23,73.2,16879.67
"('0x9d9346b36bfacf6858ae06c7401a72ad09162cf1', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",2,85,23,1955,True,735,41,71.9,319.22,182.14,191.52,-85.48,568.36,-663.16,2748.86,70.7,13087.9
"('0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",2,75,26,1950,True,401,46,71.6,320.21,205.81,187.3,-26.32,574.14,-696.11,2467.95,63.0,14729.81
"('0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,30,59,1770,True,1416,37,97.3,455.45,173.22,108.37,-36.32,608.15,-866.48,3677.38,62.2,16851.67
"('0x9d9346b36bfacf6858ae06c7401a72ad09162cf1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,70,28,1960,True,1358,36,95.3,571.09,215.77,252.65,-190.15,1047.11,-2021.79,5751.55,66.7,20559.41
"('0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,65,29,1885,True,1024,45,95.0,485.52,229.98,61.4,-100.81,789.61,-1783.99,5916.46,55.6,21848.32
"('0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",2,35,52,1820,True,1154,29,97.4,396.21,117.93,123.04,-48.46,646.54,-1124.93,3533.09,65.5,11490.1
"('0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",2,35,51,1785,True,820,40,97.3,324.37,133.37,-3.38,-84.72,431.88,-531.15,2974.96,47.5,12974.87
"('0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",2,100,13,1300,True,762,39,58.6,263.32,175.33,-10.35,-243.04,377.91,-1228.24,4873.26,46.2,10269.42
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",3,35,55,1925,True,1394,70,103.7,385.18,259.97,118.96,-48.21,385.58,-454.65,6505.72,62.9,26962.61
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,50,37,1850,True,2009,70,103.7,679.52,458.63,258.02,-64.36,682.85,-1520.18,9991.74,67.1,47566.24
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,50,40,2000,True,2808,71,104.6,513.84,348.88,123.46,-155.44,634.51,-1938.5,9316.06,54.9,36482.44
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,40,49,1960,True,1386,74,103.7,438.7,313.01,172.08,-37.84,418.95,-376.06,7452.85,71.6,32463.77
