train_time_avg,test_time_avg,train_median,test_median,test_p25,test_pct_profitable,train_pct_profitable,test_n_weeks,test_sharpe,robust_time_avg,test_worst_week,test_std,wallets,n_wallets,bet,peak_conc,peak_capital,fits
17.07,214.21,6.36,17.35,-24.35,50.0,50.0,18,0.44,17.07,-362.35,500.99,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x62e651c34c394423e8c2c93b24a50b0e54cf564e,2,50,39,1950,True
301.68,118.11,128.08,-48.8,-74.94,36.4,63.6,11,0.3,118.11,-157.55,357.34,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xc6174a742b2926f00e683828019cef708ff9cd8e,2,35,56,1960,True
-453.25,-1101.4,-244.25,-255.14,-989.61,27.3,28.6,11,-0.45,-1101.4,-6917.48,2178.42,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x26437896ed9dfeb2f69765edcafe8fdceaab39ae,2,25,73,1825,True
32.9,218.58,-59.92,285.33,121.93,80.0,31.6,10,0.52,32.9,-463.41,397.79,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x77f623734a71c023f9df91011189eaeef891dbd1,2,65,30,1950,True
352.67,100.36,148.72,-29.94,-31.14,42.9,70.6,7,0.4,100.36,-137.27,247.96,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xe7dd85e5a9059a65d84f354203648df9928a96cb,2,65,30,1950,True
522.99,98.86,102.09,-11.95,-22.65,40.0,56.5,10,0.3,98.86,-40.81,291.04,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xb64fe08cf7ebbf52cf2963bba89deb13b79ddc88,2,25,69,1725,True
164.99,166.24,-4.99,18.43,-18.42,66.7,48.7,21,0.43,164.99,-370.36,416.96,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xd3a6e523c440f94f9259398fbcf7b5cc5ccffd55,2,40,48,1920,True
117.28,62.78,2.2,16.61,-6.84,57.1,50.0,14,0.43,62.78,-108.71,159.62,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x7177a7f5c216809c577c50c77b12aae81f81ddef,2,15,107,1605,True
312.21,128.91,179.46,16.75,-17.35,57.1,73.5,21,0.39,128.91,-253.65,351.69,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x5e222c5667c429e79d0e36d580ed1110cc923993,2,35,52,1820,True
986.37,1704.14,760.05,410.87,32.76,77.8,80.6,18,0.54,986.37,-67.28,3111.79,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xaa501f4663c454e94fba8907c42dafcc785a3ed5,2,35,51,1785,True
4.47,-27.41,-3.94,7.98,-32.53,54.2,48.8,24,-0.08,-27.41,-971.62,331.53,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xd6a39cef30c927c4d57b5cc519f3a2d0332a9738,2,15,108,1620,True
-21.24,79.46,-52.23,-29.75,-138.13,39.4,37.5,33,0.2,-21.24,-434.82,513.74,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xe0f3208b94bbd4d1a3dee319d4d574747297d82c,2,60,31,1860,True
87.73,331.67,84.17,15.43,-60.2,50.0,57.9,8,0.37,87.73,-248.96,848.63,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x88d17ad6bf91ca0935f6e70b37ebe3db92b618da,2,65,30,1950,True
107.86,147.32,1.8,19.14,-19.83,57.1,50.9,21,0.39,107.86,-289.88,401.93,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xba732f8ac829db045ab0622787794976cb950cfd,2,40,47,1880,True
-45.54,590.38,11.47,286.53,105.95,75.0,52.6,8,0.76,-45.54,-32.22,813.1,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x2b3ff45c91540e46fae1e0c72f61f4b049453446,2,65,30,1950,True
94.49,390.44,9.49,166.89,-87.68,70.0,50.0,30,0.51,94.49,-476.81,730.45,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xaa7a74b8c754e8aacc1ac2dedb699af0a3224d23,2,65,30,1950,True
4075.25,160.37,4075.25,13.86,-48.26,52.4,100.0,21,0.38,160.37,-326.12,455.0,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x1823757d22022f81a8fa1536d63101fe458884d8,2,45,42,1890,True
-1.45,127.42,-34.75,108.64,-82.09,68.2,45.5,22,0.28,-1.45,-1133.75,437.8,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x412fe1a101554f0b382181c3af932e4b2d8030fa,2,25,74,1850,True
6.32,13.48,159.77,-116.71,-314.88,42.9,100.0,21,0.02,6.32,-1514.37,652.78,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1,2,25,74,1850,True
51.48,15.47,79.11,24.01,-86.5,63.2,93.3,19,0.04,15.47,-1370.3,398.52,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1,2,25,78,1950,True
-4.22,228.48,-18.93,90.31,-54.85,62.1,44.4,29,0.38,-4.22,-999.35,581.79,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0xfbf3d501e88815464642d0e913f15379c3eeb218,2,25,74,1850,True
0.69,266.67,-5.86,187.34,-87.24,63.0,25.0,27,0.42,0.69,-1205.43,615.33,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x567464a8b6b5794c43282c4a9274e12b48ba8b14,2,25,74,1850,True
11.66,-12.74,14.32,-60.47,-188.46,40.9,57.1,22,-0.03,-12.74,-999.32,401.9,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x9d9346b36bfacf6858ae06c7401a72ad09162cf1,2,25,74,1850,True
6.82,47.94,-2.59,51.49,-162.74,60.9,41.2,23,0.1,6.82,-1272.58,442.2,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x5c6940cefe1dc0cbcc859b62997cc749baa751ca,2,25,79,1975,True
11.24,-54.62,20.76,-46.2,-161.92,46.2,50.0,13,-0.11,-54.62,-1205.43,457.47,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x62e651c34c394423e8c2c93b24a50b0e54cf564e,2,25,74,1850,True
81.89,-54.76,219.14,-61.08,-153.59,35.7,83.3,14,-0.23,-54.76,-964.34,352.29,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0xc6174a742b2926f00e683828019cef708ff9cd8e,2,20,96,1920,True
-68.85,-525.91,-205.6,-245.62,-606.16,15.0,22.2,20,-0.58,-525.91,-4199.98,926.66,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x26437896ed9dfeb2f69765edcafe8fdceaab39ae,2,15,111,1665,True
-1.35,-63.97,-22.47,-83.62,-196.43,36.4,16.7,22,-0.16,-63.97,-1242.24,384.02,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x77f623734a71c023f9df91011189eaeef891dbd1,2,25,74,1850,True
5.83,-16.45,74.0,46.05,-112.03,56.2,100.0,16,-0.05,-16.45,-1205.43,411.7,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0xe7dd85e5a9059a65d84f354203648df9928a96cb,2,25,74,1850,True
42.11,368.35,-5.62,-21.36,-59.86,47.6,41.7,21,0.23,42.11,-1245.97,1603.88,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0xb64fe08cf7ebbf52cf2963bba89deb13b79ddc88,2,25,74,1850,True
105.91,-13.31,7.35,5.99,-64.71,52.2,51.3,23,-0.04,-13.31,-1205.43,344.48,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0xd3a6e523c440f94f9259398fbcf7b5cc5ccffd55,2,25,76,1900,True
13.0,141.81,8.58,-19.62,-97.55,43.8,57.1,16,0.2,13.0,-723.26,897.56,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x7177a7f5c216809c577c50c77b12aae81f81ddef,2,15,107,1605,True
226.85,-52.28,159.73,-46.2,-161.92,46.2,73.5,13,-0.1,-52.28,-1205.43,458.51,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0x5e222c5667c429e79d0e36d580ed1110cc923993,2,25,74,1850,True
468.08,1172.28,447.56,530.8,18.07,77.3,77.8,22,0.54,468.08,-1205.43,2110.1,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf|0xaa501f4663c454e94fba8907c42dafcc785a3ed5,2,25,74,1850,True
