window_ts,series,ticker,side,ask,secs_left,has_companion,won,profit,result
1785486600,KXDOGE15M,KXDOGE15M-26JUL310430-30,no,88,600,True,True,4.44,no
1785486600,KXBNB15M,KXBNB15M-26JUL310430-30,no,86,480,True,False,-35,yes
1785487500,KXNEAR15M,KXNEAR15M-26JUL310445-45,no,87,600,False,True,4.86,no
1785488400,KXDOGE15M,KXDOGE15M-26JUL310500-00,yes,87,360,True,True,4.86,yes
1785488400,KXXRP15M,KXXRP15M-26JUL310500-00,yes,87,360,True,True,4.86,yes
1785488400,KXHYPE15M,KXHYPE15M-26JUL310500-00,yes,89,420,True,True,4.02,yes
1785488400,KXNEAR15M,KXNEAR15M-26JUL310500-00,yes,88,600,True,True,4.44,yes
1785489300,KXDOGE15M,KXDOGE15M-26JUL310515-15,no,88,240,True,True,4.44,no
1785489300,KXBNB15M,KXBNB15M-26JUL310515-15,no,87,300,True,True,4.86,no
1785490200,KXNEAR15M,KXNEAR15M-26JUL310530-30,no,88,300,True,True,4.44,no
1785492900,KXETH15M,KXETH15M-26JUL310615-15,no,85,360,True,False,-35,yes
1785492900,KXBNB15M,KXBNB15M-26JUL310615-15,no,88,360,False,True,4.44,no
1785493800,KXHYPE15M,KXHYPE15M-26JUL310630-30,yes,89,240,True,True,4.02,yes
1785494700,KXBTC15M,KXBTC15M-26JUL310645-45,yes,89,300,True,True,4.02,yes
1785495600,KXETH15M,KXETH15M-26JUL310700-00,no,86,360,False,True,5.3,no
1785495600,KXDOGE15M,KXDOGE15M-26JUL310700-00,no,85,480,True,True,5.74,no
1785496500,KXSOL15M,KXSOL15M-26JUL310715-15,yes,85,420,True,False,-35,no
1785496500,KXNEAR15M,KXNEAR15M-26JUL310715-15,yes,88,480,True,False,-35,no
1785498300,KXSOL15M,KXSOL15M-26JUL310745-45,no,88,240,True,True,4.44,no
1785498300,KXBNB15M,KXBNB15M-26JUL310745-45,no,88,600,False,True,4.44,no
1785498300,KXXRP15M,KXXRP15M-26JUL310745-45,no,86,600,False,True,5.3,no
1785500100,KXBTC15M,KXBTC15M-26JUL310815-15,no,89,300,True,True,4.02,no
1785500100,KXXRP15M,KXXRP15M-26JUL310815-15,no,86,480,True,True,5.3,no
1785501900,KXBTC15M,KXBTC15M-26JUL310845-45,no,89,420,True,True,4.02,no
1785501900,KXSOL15M,KXSOL15M-26JUL310845-45,no,89,480,True,True,4.02,no
1785501900,KXDOGE15M,KXDOGE15M-26JUL310845-45,no,88,540,True,True,4.44,no
1785503700,KXXRP15M,KXXRP15M-26JUL310915-15,yes,88,300,True,True,4.44,yes
1785504600,KXNEAR15M,KXNEAR15M-26JUL310930-30,yes,85,480,True,True,5.74,yes
1785506400,KXHYPE15M,KXHYPE15M-26JUL311000-00,no,85,240,True,True,5.74,no
1785508200,KXSOL15M,KXSOL15M-26JUL311030-30,yes,85,360,True,False,-35,no
1785509100,KXBTC15M,KXBTC15M-26JUL311045-45,yes,88,300,True,True,4.44,yes
1785509100,KXETH15M,KXETH15M-26JUL311045-45,yes,86,420,True,False,-35,no
1785509100,KXBNB15M,KXBNB15M-26JUL311045-45,yes,87,300,True,True,4.86,yes
1785524400,KXSOL15M,KXSOL15M-26JUL311500-00,yes,86,240,True,True,5.3,yes
1785525300,KXBTC15M,KXBTC15M-26JUL311515-15,no,89,300,True,True,4.02,no
1785525300,KXETH15M,KXETH15M-26JUL311515-15,no,88,300,True,True,4.44,no
1785528000,KXSOL15M,KXSOL15M-26JUL311600-00,yes,86,480,False,True,5.3,yes
1785529800,KXXRP15M,KXXRP15M-26JUL311630-30,yes,87,240,True,True,4.86,yes
1785530700,KXHYPE15M,KXHYPE15M-26JUL311645-45,yes,89,480,False,True,4.02,yes
1785532500,KXHYPE15M,KXHYPE15M-26JUL311715-15,yes,89,420,True,False,-35,no
1785532500,KXNEAR15M,KXNEAR15M-26JUL311715-15,yes,89,240,True,True,4.02,yes
1785533400,KXXRP15M,KXXRP15M-26JUL311730-30,yes,88,240,True,True,4.44,yes
1785537000,KXHYPE15M,KXHYPE15M-26JUL311830-30,yes,87,420,True,True,4.86,yes
1785537900,KXBTC15M,KXBTC15M-26JUL311845-45,no,86,360,True,True,5.3,no
1785537900,KXDOGE15M,KXDOGE15M-26JUL311845-45,no,85,180,True,True,5.74,no
1785538800,KXSOL15M,KXSOL15M-26JUL311900-00,no,89,300,True,True,4.02,no
1785540600,KXXRP15M,KXXRP15M-26JUL311930-30,yes,87,360,True,True,4.86,yes
1785541500,KXNEAR15M,KXNEAR15M-26JUL311945-45,yes,88,600,False,True,4.44,yes
1785543300,KXBTC15M,KXBTC15M-26JUL312015-15,yes,88,600,True,True,4.44,yes
1785543300,KXSOL15M,KXSOL15M-26JUL312015-15,yes,85,540,True,True,5.74,yes
1785543300,KXDOGE15M,KXDOGE15M-26JUL312015-15,yes,86,540,True,True,5.3,yes
1785543300,KXNEAR15M,KXNEAR15M-26JUL312015-15,yes,88,180,True,True,4.44,yes
1785544200,KXHYPE15M,KXHYPE15M-26JUL312030-30,no,87,420,False,True,4.86,no
1785545100,KXBNB15M,KXBNB15M-26JUL312045-45,no,87,480,True,False,-35,yes
1785546000,KXSOL15M,KXSOL15M-26JUL312100-00,yes,88,540,False,False,-35,no
1785546000,KXBNB15M,KXBNB15M-26JUL312100-00,yes,87,240,False,True,4.86,yes
1785546900,KXSOL15M,KXSOL15M-26JUL312115-15,yes,85,540,True,True,5.74,yes
1785546900,KXBNB15M,KXBNB15M-26JUL312115-15,yes,88,540,True,True,4.44,yes
1785546900,KXHYPE15M,KXHYPE15M-26JUL312115-15,yes,85,480,True,True,5.74,yes
1785547800,KXBNB15M,KXBNB15M-26JUL312130-30,no,86,420,False,True,5.3,no
1785547800,KXNEAR15M,KXNEAR15M-26JUL312130-30,no,88,420,True,True,4.44,no
1785549600,KXNEAR15M,KXNEAR15M-26JUL312200-00,yes,85,180,True,True,5.74,yes
1785550500,KXXRP15M,KXXRP15M-26JUL312215-15,yes,88,180,True,True,4.44,yes
1785551400,KXSOL15M,KXSOL15M-26JUL312230-30,yes,87,240,True,True,4.86,yes
1785551400,KXDOGE15M,KXDOGE15M-26JUL312230-30,yes,89,360,True,True,4.02,yes
1785553200,KXDOGE15M,KXDOGE15M-26JUL312300-00,yes,87,480,False,True,4.86,yes
1785556800,KXDOGE15M,KXDOGE15M-26AUG010000-00,yes,89,180,True,True,4.02,yes
1785560400,KXDOGE15M,KXDOGE15M-26AUG010100-00,no,87,360,True,True,4.86,no
1785562200,KXBTC15M,KXBTC15M-26AUG010130-30,no,88,600,True,True,4.44,no
1785562200,KXETH15M,KXETH15M-26AUG010130-30,no,88,600,True,True,4.44,no
1785562200,KXSOL15M,KXSOL15M-26AUG010130-30,no,86,600,True,True,5.3,no
1785562200,KXDOGE15M,KXDOGE15M-26AUG010130-30,no,87,480,True,True,4.86,no
1785562200,KXXRP15M,KXXRP15M-26AUG010130-30,no,89,600,True,True,4.02,no
1785564900,KXBTC15M,KXBTC15M-26AUG010215-15,no,89,180,True,True,4.02,no
1785565800,KXHYPE15M,KXHYPE15M-26AUG010230-30,yes,88,300,True,True,4.44,yes
1785569400,KXBTC15M,KXBTC15M-26AUG010330-30,no,85,480,True,True,5.74,no
1785569400,KXXRP15M,KXXRP15M-26AUG010330-30,no,86,480,True,True,5.3,no
1785569400,KXHYPE15M,KXHYPE15M-26AUG010330-30,no,85,480,True,True,5.74,no
1785573900,KXBNB15M,KXBNB15M-26AUG010445-45,no,86,180,True,True,5.3,no
1785574800,KXBNB15M,KXBNB15M-26AUG010500-00,no,86,300,True,True,5.3,no
1785574800,KXNEAR15M,KXNEAR15M-26AUG010500-00,no,88,540,False,True,4.44,no
1785575700,KXETH15M,KXETH15M-26AUG010515-15,no,88,300,True,False,-35,yes
1785575700,KXBNB15M,KXBNB15M-26AUG010515-15,no,87,180,True,True,4.86,no
1785575700,KXHYPE15M,KXHYPE15M-26AUG010515-15,no,88,360,True,True,4.44,no
1785578400,KXETH15M,KXETH15M-26AUG010600-00,no,88,480,True,True,4.44,no
1785578400,KXDOGE15M,KXDOGE15M-26AUG010600-00,no,86,480,True,True,5.3,no
1785578400,KXXRP15M,KXXRP15M-26AUG010600-00,no,89,240,True,True,4.02,no
1785579300,KXXRP15M,KXXRP15M-26AUG010615-15,no,88,360,True,False,-35,yes
1785580200,KXETH15M,KXETH15M-26AUG010630-30,yes,89,420,True,True,4.02,yes
1785580200,KXSOL15M,KXSOL15M-26AUG010630-30,yes,87,240,True,True,4.86,yes
1785580200,KXBNB15M,KXBNB15M-26AUG010630-30,yes,87,420,True,False,-35,no
