series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG051900-00,90-95c,no,91,300,True,3.22,False
KXBTC15M,KXBTC15M-26AUG051830-30,75-79c,yes,77,300,True,9.72,False
KXBTC15M,KXBTC15M-26AUG051815-15,80-84c,no,81,600,True,7.64,False
KXBTC15M,KXBTC15M-26AUG051800-00,80-84c,yes,82,420,True,7.15,False
KXBTC15M,KXBTC15M-26AUG051800-00,75-79c,yes,76,300,True,10.28,False
KXBTC15M,KXBTC15M-26AUG051745-45,75-79c,yes,75,480,True,10.85,False
KXBTC15M,KXBTC15M-26AUG051745-45,85-89c,yes,89,240,True,4.02,False
KXBTC15M,KXBTC15M-26AUG051730-30,75-79c,no,79,540,True,8.65,False
KXBTC15M,KXBTC15M-26AUG051730-30,90-95c,no,91,480,True,3.22,False
KXBTC15M,KXBTC15M-26AUG051715-15,75-79c,no,79,600,True,8.65,False
KXBTC15M,KXBTC15M-26AUG051715-15,85-89c,no,85,540,True,5.74,False
KXBTC15M,KXBTC15M-26AUG051715-15,80-84c,no,80,480,True,8.14,False
KXBTC15M,KXBTC15M-26AUG051700-00,90-95c,no,93,600,True,2.45,False
KXBTC15M,KXBTC15M-26AUG051630-30,90-95c,yes,90,540,True,3.62,False
KXBTC15M,KXBTC15M-26AUG051630-30,75-79c,yes,76,480,True,10.28,False
KXBTC15M,KXBTC15M-26AUG051630-30,80-84c,yes,80,420,True,8.14,False
KXBTC15M,KXBTC15M-26AUG051615-15,75-79c,no,77,540,False,-35,False
KXBTC15M,KXBTC15M-26AUG051615-15,90-95c,no,91,480,False,-35,False
KXBTC15M,KXBTC15M-26AUG051615-15,85-89c,no,88,420,False,-35,False
KXBTC15M,KXBTC15M-26AUG051045-45,75-79c,no,76,420,False,-35,False
KXBTC15M,KXBTC15M-26AUG051045-45,85-89c,no,85,300,False,-35,False
KXBTC15M,KXBTC15M-26AUG051045-45,80-84c,no,81,240,False,-35,False
KXBTC15M,KXBTC15M-26AUG051030-30,85-89c,no,86,360,True,5.3,False
KXBTC15M,KXBTC15M-26AUG051030-30,90-95c,no,91,300,True,3.22,False
KXBTC15M,KXBTC15M-26AUG050730-30,80-84c,no,84,420,True,6.2,False
KXBTC15M,KXBTC15M-26AUG050730-30,75-79c,no,77,360,True,9.72,False
KXBTC15M,KXBTC15M-26AUG050715-15,80-84c,yes,84,540,True,6.2,False
KXBTC15M,KXBTC15M-26AUG050715-15,85-89c,yes,88,360,True,4.44,False
KXBTC15M,KXBTC15M-26AUG050700-00,90-95c,no,95,600,True,1.71,False
KXBTC15M,KXBTC15M-26AUG050345-45,75-79c,no,78,300,True,9.18,False
KXBTC15M,KXBTC15M-26AUG050345-45,80-84c,no,81,180,True,7.64,False
KXBTC15M,KXBTC15M-26AUG050330-30,85-89c,no,87,600,True,4.86,False
KXBTC15M,KXBTC15M-26AUG050330-30,90-95c,no,94,540,True,2.08,False
KXBTC15M,KXBTC15M-26AUG050315-15,90-95c,no,95,300,True,1.71,False
KXBTC15M,KXBTC15M-26AUG050000-00,75-79c,yes,77,540,True,9.72,False
KXBTC15M,KXBTC15M-26AUG050000-00,80-84c,yes,82,480,True,7.15,False
KXBTC15M,KXBTC15M-26AUG050000-00,90-95c,yes,90,300,True,3.62,False
KXBTC15M,KXBTC15M-26AUG050000-00,85-89c,yes,89,240,True,4.02,False
KXBTC15M,KXBTC15M-26AUG042015-15,80-84c,no,83,540,True,6.67,False
KXBTC15M,KXBTC15M-26AUG042015-15,85-89c,no,88,420,True,4.44,False
KXBTC15M,KXBTC15M-26AUG042015-15,90-95c,no,95,360,True,1.71,False
KXBTC15M,KXBTC15M-26AUG042000-00,80-84c,no,82,600,True,7.15,False
KXBTC15M,KXBTC15M-26AUG042000-00,90-95c,no,90,540,True,3.62,False
KXBTC15M,KXBTC15M-26AUG041945-45,80-84c,no,81,360,False,-35,False
KXBTC15M,KXBTC15M-26AUG041945-45,75-79c,no,77,300,False,-35,False
KXBTC15M,KXBTC15M-26AUG041945-45,85-89c,yes,86,180,True,5.3,False
KXBTC15M,KXBTC15M-26AUG041930-30,75-79c,yes,78,600,False,-35,False
KXBTC15M,KXBTC15M-26AUG041915-15,85-89c,yes,87,420,True,4.86,False
KXBTC15M,KXBTC15M-26AUG041900-00,75-79c,no,77,480,False,-35,False
KXBTC15M,KXBTC15M-26AUG041845-45,80-84c,no,83,240,True,6.67,False
KXBTC15M,KXBTC15M-26AUG041830-30,85-89c,no,86,480,False,-35,False
KXBTC15M,KXBTC15M-26AUG041830-30,90-95c,no,90,420,False,-35,False
KXBTC15M,KXBTC15M-26AUG041815-15,75-79c,yes,77,240,True,9.72,False
KXBTC15M,KXBTC15M-26AUG041815-15,90-95c,yes,95,180,True,1.71,False
KXBTC15M,KXBTC15M-26AUG041800-00,80-84c,no,82,600,True,7.15,False
KXBTC15M,KXBTC15M-26AUG041645-45,80-84c,yes,82,600,True,7.15,False
KXBTC15M,KXBTC15M-26AUG041645-45,85-89c,yes,89,540,True,4.02,False
KXBTC15M,KXBTC15M-26AUG041645-45,90-95c,yes,93,480,True,2.45,False
KXBTC15M,KXBTC15M-26AUG041630-30,90-95c,no,95,540,True,1.71,False
