series,ticker,side,ask,secs_left,prior_asks,accel,won,profit
KXBTC15M,KXBTC15M-26JUN291545-45,no,95,480,"86,94,96",True,True,2.2
KXBTC15M,KXBTC15M-26JUN291515-15,no,90,540,"82,82,84",True,True,4.65
KXBTC15M,KXBTC15M-26JUN291015-15,no,93,360,"87,88,95",True,True,3.15
KXBTC15M,KXBTC15M-26JUN290915-15,yes,94,540,"80,86,89",True,True,2.67
KXBTC15M,KXBTC15M-26JUN290715-15,no,94,240,"84,85,89",True,True,2.67
KXBTC15M,KXBTC15M-26JUN290700-00,no,93,180,"82,84,89",True,True,3.15
KXBTC15M,KXBTC15M-26JUN290400-00,yes,91,360,"82,90,85",False,False,-45
KXBTC15M,KXBTC15M-26JUN290245-45,no,94,180,"95,97,97",True,True,2.67
KXBTC15M,KXBTC15M-26JUN290230-30,yes,95,540,"88,94,91",False,True,2.2
KXBTC15M,KXBTC15M-26JUN290145-45,yes,93,300,"80,81,89",True,True,3.15
KXBTC15M,KXBTC15M-26JUN290100-00,yes,92,300,"81,88,90",True,True,3.64
KXBTC15M,KXBTC15M-26JUN290000-00,yes,93,300,"88,92,95",True,True,3.15
KXBTC15M,KXBTC15M-26JUN282345-45,no,94,540,"84,85,85",True,True,2.67
KXBTC15M,KXBTC15M-26JUN282315-15,yes,95,420,"89,93,91",False,True,2.2
KXBTC15M,KXBTC15M-26JUN282230-30,yes,94,540,"84,86,83",False,True,2.67
KXBTC15M,KXBTC15M-26JUN282130-30,no,92,480,"89,88,86",False,True,3.64
KXBTC15M,KXBTC15M-26JUN282115-15,no,90,540,"81,85,91",True,True,4.65
KXBTC15M,KXBTC15M-26JUN282030-30,no,93,540,"83,82,88",False,True,3.15
KXBTC15M,KXBTC15M-26JUN282015-15,no,91,600,"82,86,81",False,False,-45
KXBTC15M,KXBTC15M-26JUN281915-15,yes,92,480,"86,86,82",False,True,3.64
KXBTC15M,KXBTC15M-26JUN281830-30,no,94,420,"93,97,96",False,True,2.67
KXBTC15M,KXBTC15M-26JUN281815-15,yes,95,600,"90,95,96",True,True,2.2
KXBTC15M,KXBTC15M-26JUN281800-00,no,94,600,"89,85,84",False,True,2.67
KXBTC15M,KXBTC15M-26JUN281515-15,no,92,420,"88,86,87",False,True,3.64
KXBTC15M,KXBTC15M-26JUN281415-15,yes,94,300,"83,87,95",True,True,2.67
KXBTC15M,KXBTC15M-26JUN280830-30,no,90,420,"91,91,86",False,False,-45
KXBTC15M,KXBTC15M-26JUN280800-00,yes,95,180,"84,97,98",True,True,2.2
KXBTC15M,KXBTC15M-26JUN280630-30,no,94,420,"89,93,92",False,True,2.67
KXBTC15M,KXBTC15M-26JUN280600-00,no,95,480,"90,93,97",True,True,2.2
KXBTC15M,KXBTC15M-26JUN280500-00,no,92,300,"80,87,82",False,True,3.64
KXBTC15M,KXBTC15M-26JUN280430-30,yes,93,300,"86,86,87",True,True,3.15
KXBTC15M,KXBTC15M-26JUN280315-15,yes,90,600,"91,91,90",False,True,4.65
KXBTC15M,KXBTC15M-26JUN280300-00,yes,93,360,"89,91,93",True,True,3.15
KXBTC15M,KXBTC15M-26JUN280245-45,yes,91,360,"83,81,87",False,True,4.14
KXBTC15M,KXBTC15M-26JUN280230-30,yes,92,360,"86,87,88",True,True,3.64
KXBTC15M,KXBTC15M-26JUN280145-45,yes,91,480,"84,90,90",True,True,4.14
KXBTC15M,KXBTC15M-26JUN280115-15,no,95,360,"95,89,86",False,True,2.2
KXBTC15M,KXBTC15M-26JUN280045-45,no,92,540,"89,84,86",False,True,3.64
KXBTC15M,KXBTC15M-26JUN272345-45,no,93,420,"88,93,91",False,True,3.15
KXBTC15M,KXBTC15M-26JUN272315-15,yes,93,240,"84,84,89",True,True,3.15
KXBTC15M,KXBTC15M-26JUN272215-15,yes,95,420,"86,87,88",True,True,2.2
KXBTC15M,KXBTC15M-26JUN272045-45,no,92,240,"89,82,80",False,True,3.64
KXBTC15M,KXBTC15M-26JUN272030-30,yes,94,240,"88,80,90",False,True,2.67
KXBTC15M,KXBTC15M-26JUN271930-30,no,92,240,"85,89,88",False,True,3.64
KXBTC15M,KXBTC15M-26JUN271845-45,yes,93,300,"82,90,96",True,True,3.15
KXBTC15M,KXBTC15M-26JUN271830-30,no,90,360,"86,88,85",False,False,-45
KXBTC15M,KXBTC15M-26JUN271815-15,no,93,540,"81,83,83",True,True,3.15
KXBTC15M,KXBTC15M-26JUN271800-00,no,94,300,"91,84,89",False,True,2.67
KXBTC15M,KXBTC15M-26JUN271745-45,no,95,360,"84,85,94",True,True,2.2
KXBTC15M,KXBTC15M-26JUN271715-15,yes,94,540,"85,80,84",False,True,2.67
KXBTC15M,KXBTC15M-26JUN271700-00,yes,92,240,"91,83,82",False,True,3.64
KXBTC15M,KXBTC15M-26JUN271615-15,yes,91,540,"82,83,90",True,True,4.14
KXBTC15M,KXBTC15M-26JUN271545-45,no,95,480,"86,87,81",False,True,2.2
KXBTC15M,KXBTC15M-26JUN271515-15,yes,94,360,"86,88,80",False,True,2.67
KXBTC15M,KXBTC15M-26JUN271445-45,yes,90,360,"88,88,85",False,True,4.65
KXBTC15M,KXBTC15M-26JUN271030-30,no,95,360,"87,89,96",True,True,2.2
KXBTC15M,KXBTC15M-26JUN270930-30,yes,94,300,"90,88,85",False,True,2.67
KXBTC15M,KXBTC15M-26JUN270815-15,no,91,300,"84,89,89",True,True,4.14
KXBTC15M,KXBTC15M-26JUN270800-00,yes,91,600,"86,89,90",True,True,4.14
KXBTC15M,KXBTC15M-26JUN270730-30,no,93,600,"88,84,91",False,True,3.15
KXBTC15M,KXBTC15M-26JUN270700-00,no,91,360,"85,86,91",True,True,4.14
KXBTC15M,KXBTC15M-26JUN270545-45,yes,93,360,"85,87,89",True,True,3.15
KXBTC15M,KXBTC15M-26JUN270445-45,no,95,300,"85,84,96",False,True,2.2
KXBTC15M,KXBTC15M-26JUN270415-15,no,93,540,"87,89,90",True,True,3.15
KXBTC15M,KXBTC15M-26JUN270300-00,no,94,240,"81,83,92",True,True,2.67
KXBTC15M,KXBTC15M-26JUN270245-45,yes,90,600,"83,90,90",True,True,4.65
KXBTC15M,KXBTC15M-26JUN270215-15,no,95,420,"89,88,86",False,True,2.2
KXBTC15M,KXBTC15M-26JUN270200-00,yes,95,180,"84,87,88",True,True,2.2
KXBTC15M,KXBTC15M-26JUN270145-45,yes,94,300,"83,88,88",True,True,2.67
KXBTC15M,KXBTC15M-26JUN270100-00,no,94,420,"84,85,89",True,True,2.67
KXBTC15M,KXBTC15M-26JUN270015-15,yes,94,420,"81,92,91",False,True,2.67
KXBTC15M,KXBTC15M-26JUN262330-30,yes,92,540,"83,83,89",True,True,3.64
KXBTC15M,KXBTC15M-26JUN262315-15,no,95,300,"83,94,94",True,True,2.2
KXBTC15M,KXBTC15M-26JUN262115-15,no,90,480,"86,89,88",False,True,4.65
KXBTC15M,KXBTC15M-26JUN262100-00,yes,95,420,"92,91,94",False,True,2.2
KXBTC15M,KXBTC15M-26JUN262045-45,no,91,600,"85,89,94",True,True,4.14
KXBTC15M,KXBTC15M-26JUN262030-30,no,94,360,"87,89,93",True,True,2.67
