series,ticker,side,ask,bucket,secs_left,prior_stuck,won,profit
KXETH15M,KXETH15M-26JUL161515-15,no,77,75-79c,480,"48,54,51,42",True,12.5
KXETH15M,KXETH15M-26JUL161400-00,no,84,80-85c,480,"54,49,50,64",True,7.97
KXETH15M,KXETH15M-26JUL161015-15,yes,82,80-85c,480,"63,57,53,63",True,9.19
KXETH15M,KXETH15M-26JUL160945-45,yes,75,75-79c,540,"61,59,58,56",False,-45
KXETH15M,KXETH15M-26JUL160930-30,yes,71,70-74c,600,"60,65,44,58",True,17.09
KXETH15M,KXETH15M-26JUL160915-15,no,69,65-69c,600,"49,47,62,57",False,-45
KXETH15M,KXETH15M-26JUL160845-45,no,71,70-74c,540,"52,65,55,64",True,17.09
KXETH15M,KXETH15M-26JUL160830-30,yes,74,70-74c,600,"42,41,46,59",True,14.7
KXETH15M,KXETH15M-26JUL160745-45,yes,66,65-69c,540,"36,47,54,62",True,21.56
KXETH15M,KXETH15M-26JUL160615-15,yes,71,70-74c,540,"46,46,55,64",True,17.09
KXETH15M,KXETH15M-26JUL160600-00,yes,66,65-69c,420,"54,44,51,63",False,-45
KXETH15M,KXETH15M-26JUL160600-00,no,84,80-85c,360,"57,50,38,35",True,7.97
KXETH15M,KXETH15M-26JUL160545-45,no,66,65-69c,300,"38,55,45,37",False,-45
KXETH15M,KXETH15M-26JUL160530-30,no,67,65-69c,420,"60,56,51,51",True,20.61
KXETH15M,KXETH15M-26JUL160245-45,no,77,75-79c,540,"60,54,56,63",True,12.5
KXETH15M,KXETH15M-26JUL160230-30,yes,71,70-74c,600,"48,42,51,50",False,-45
KXETH15M,KXETH15M-26JUL160215-15,no,72,70-74c,480,"52,63,51,63",True,16.27
KXETH15M,KXETH15M-26JUL160200-00,yes,67,65-69c,540,"40,49,50,56",True,20.61
KXETH15M,KXETH15M-26JUL160015-15,no,75,75-79c,360,"54,56,55,49",False,-45
KXETH15M,KXETH15M-26JUL152315-15,no,74,70-74c,600,"54,53,36,47",False,-45
KXETH15M,KXETH15M-26JUL152245-45,no,78,75-79c,300,"35,42,50,54",True,11.8
KXETH15M,KXETH15M-26JUL152230-30,yes,74,70-74c,600,"55,42,41,57",True,14.7
KXETH15M,KXETH15M-26JUL152215-15,no,70,70-74c,600,"61,60,62,61",True,17.94
KXETH15M,KXETH15M-26JUL152115-15,yes,74,70-74c,540,"59,35,60,59",False,-45
KXETH15M,KXETH15M-26JUL152000-00,yes,77,75-79c,540,"54,54,51,60",True,12.5
KXETH15M,KXETH15M-26JUL151845-45,yes,78,75-79c,420,"50,49,59,64",False,-45
KXETH15M,KXETH15M-26JUL151645-45,yes,73,70-74c,300,"58,57,61,64",False,-45
KXETH15M,KXETH15M-26JUL151615-15,no,77,75-79c,600,"61,54,56,53",True,12.5
KXETH15M,KXETH15M-26JUL151030-30,no,78,75-79c,540,"56,61,51,48",True,11.8
KXETH15M,KXETH15M-26JUL150800-00,yes,74,70-74c,540,"52,49,47,48",True,14.7
KXETH15M,KXETH15M-26JUL150645-45,yes,69,65-69c,480,"49,53,47,39",True,18.8
KXETH15M,KXETH15M-26JUL150630-30,no,80,80-85c,600,"57,63,59,57",True,10.46
KXETH15M,KXETH15M-26JUL150500-00,yes,83,80-85c,420,"58,57,63,64",True,8.57
KXETH15M,KXETH15M-26JUL150445-45,no,66,65-69c,540,"63,54,44,54",False,-45
KXETH15M,KXETH15M-26JUL150445-45,yes,84,80-85c,300,"35,60,51,58",True,7.97
KXETH15M,KXETH15M-26JUL150430-30,no,71,70-74c,480,"51,43,55,62",False,-45
KXETH15M,KXETH15M-26JUL150045-45,yes,74,70-74c,480,"46,57,48,50",True,14.7
KXETH15M,KXETH15M-26JUL150030-30,no,72,70-74c,600,"60,37,48,65",True,16.27
KXETH15M,KXETH15M-26JUL150015-15,no,73,70-74c,300,"54,45,58,65",False,-45
KXETH15M,KXETH15M-26JUL150000-00,yes,78,75-79c,540,"40,55,62,64",True,11.8
KXETH15M,KXETH15M-26JUL142300-00,no,66,65-69c,600,"50,46,47,43",True,21.56
KXETH15M,KXETH15M-26JUL142245-45,yes,72,70-74c,480,"47,39,47,47",True,16.27
KXETH15M,KXETH15M-26JUL142015-15,no,74,70-74c,360,"56,61,52,53",True,14.7
KXETH15M,KXETH15M-26JUL141900-00,no,73,70-74c,600,"51,42,52,61",True,15.48
KXETH15M,KXETH15M-26JUL141800-00,no,74,70-74c,480,"42,40,46,46",True,14.7
KXETH15M,KXETH15M-26JUL141745-45,no,65,65-69c,600,"64,55,65,54",True,22.53
KXETH15M,KXETH15M-26JUL141730-30,yes,68,65-69c,540,"49,55,48,41",True,19.69
KXETH15M,KXETH15M-26JUL141715-15,yes,78,75-79c,540,"47,35,54,58",True,11.8
KXETH15M,KXETH15M-26JUL141630-30,yes,74,70-74c,600,"54,60,58,60",True,14.7
KXETH15M,KXETH15M-26JUL141615-15,no,73,70-74c,600,"51,52,65,61",True,15.48
KXETH15M,KXETH15M-26JUL141600-00,no,67,65-69c,300,"43,56,51,49",True,20.61
KXETH15M,KXETH15M-26JUL141515-15,yes,69,65-69c,480,"55,58,64,58",True,18.8
KXETH15M,KXETH15M-26JUL141430-30,yes,65,65-69c,540,"57,56,59,64",True,22.53
KXETH15M,KXETH15M-26JUL141430-30,no,66,65-69c,360,"38,36,49,36",False,-45
KXETH15M,KXETH15M-26JUL141415-15,no,66,65-69c,420,"43,40,54,61",True,21.56
KXETH15M,KXETH15M-26JUL141000-00,yes,65,65-69c,360,"56,57,55,35",True,22.53
KXETH15M,KXETH15M-26JUL140915-15,yes,66,65-69c,540,"62,52,49,46",False,-45
KXETH15M,KXETH15M-26JUL140915-15,no,65,65-69c,360,"55,35,54,45",True,22.53
KXETH15M,KXETH15M-26JUL140815-15,no,67,65-69c,540,"57,46,39,61",True,20.61
KXETH15M,KXETH15M-26JUL140745-45,no,67,65-69c,540,"59,58,64,61",True,20.61
KXETH15M,KXETH15M-26JUL140630-30,no,65,65-69c,540,"37,47,39,58",True,22.53
KXETH15M,KXETH15M-26JUL140415-15,yes,70,70-74c,600,"53,50,49,47",False,-45
KXETH15M,KXETH15M-26JUL140300-00,no,65,65-69c,600,"64,58,56,65",True,22.53
KXETH15M,KXETH15M-26JUL140230-30,yes,70,70-74c,540,"44,48,54,50",False,-45
KXETH15M,KXETH15M-26JUL140145-45,no,75,75-79c,480,"45,44,61,57",True,13.95
KXETH15M,KXETH15M-26JUL140115-15,yes,74,70-74c,540,"35,43,52,58",True,14.7
KXETH15M,KXETH15M-26JUL140100-00,no,69,65-69c,540,"65,58,62,62",True,18.8
KXETH15M,KXETH15M-26JUL140045-45,yes,76,75-79c,480,"52,50,57,56",False,-45
KXETH15M,KXETH15M-26JUL140030-30,yes,78,75-79c,540,"43,37,39,47",True,11.8
KXETH15M,KXETH15M-26JUL132345-45,no,65,65-69c,600,"54,49,63,52",False,-45
KXETH15M,KXETH15M-26JUL132300-00,no,65,65-69c,540,"38,54,59,47",True,22.53
KXETH15M,KXETH15M-26JUL132230-30,no,82,80-85c,600,"58,38,52,64",True,9.19
KXETH15M,KXETH15M-26JUL132145-45,no,69,65-69c,600,"53,50,63,58",True,18.8
KXETH15M,KXETH15M-26JUL132015-15,no,71,70-74c,540,"50,61,65,56",False,-45
KXETH15M,KXETH15M-26JUL131900-00,no,77,75-79c,600,"41,50,59,58",True,12.5
KXETH15M,KXETH15M-26JUL131730-30,yes,72,70-74c,540,"45,45,48,50",False,-45
KXETH15M,KXETH15M-26JUL131645-45,no,82,80-85c,480,"63,62,60,62",True,9.19
KXETH15M,KXETH15M-26JUL131615-15,yes,71,70-74c,600,"42,45,43,53",False,-45
KXETH15M,KXETH15M-26JUL131500-00,yes,70,70-74c,600,"51,54,61,53",True,17.94
KXETH15M,KXETH15M-26JUL131445-45,yes,68,65-69c,540,"59,52,59,44",True,19.69
KXETH15M,KXETH15M-26JUL131430-30,no,80,80-85c,600,"47,49,47,64",False,-45
KXETH15M,KXETH15M-26JUL131045-45,no,68,65-69c,420,"35,47,63,53",False,-45
KXETH15M,KXETH15M-26JUL131015-15,no,69,65-69c,600,"38,42,49,40",False,-45
KXETH15M,KXETH15M-26JUL131000-00,no,73,70-74c,480,"57,55,44,39",False,-45
KXETH15M,KXETH15M-26JUL130930-30,no,80,80-85c,540,"64,53,53,63",False,-45
KXETH15M,KXETH15M-26JUL130915-15,yes,68,65-69c,360,"44,56,61,64",False,-45
KXETH15M,KXETH15M-26JUL130900-00,yes,68,65-69c,420,"58,63,63,56",True,19.69
KXETH15M,KXETH15M-26JUL130815-15,yes,68,65-69c,480,"65,48,42,42",False,-45
KXETH15M,KXETH15M-26JUL130800-00,yes,70,70-74c,600,"52,58,58,59",False,-45
KXETH15M,KXETH15M-26JUL130745-45,yes,77,75-79c,360,"64,58,56,54",True,12.5
KXETH15M,KXETH15M-26JUL130600-00,no,78,75-79c,360,"43,58,60,63",True,11.8
KXETH15M,KXETH15M-26JUL130545-45,yes,70,70-74c,420,"46,61,41,56",False,-45
KXETH15M,KXETH15M-26JUL130430-30,no,65,65-69c,600,"44,43,45,58",False,-45
KXETH15M,KXETH15M-26JUL130400-00,no,72,70-74c,600,"50,59,55,52",True,16.27
KXETH15M,KXETH15M-26JUL130330-30,yes,65,65-69c,540,"51,47,48,49",True,22.53
KXETH15M,KXETH15M-26JUL130315-15,yes,74,70-74c,420,"55,47,55,64",True,14.7
KXETH15M,KXETH15M-26JUL130300-00,no,67,65-69c,360,"58,57,52,43",True,20.61
KXETH15M,KXETH15M-26JUL130230-30,no,68,65-69c,420,"47,50,55,64",False,-45
KXETH15M,KXETH15M-26JUL130130-30,yes,81,80-85c,480,"57,62,57,56",False,-45
KXETH15M,KXETH15M-26JUL122330-30,yes,81,80-85c,300,"52,43,51,50",True,9.82
KXETH15M,KXETH15M-26JUL122215-15,no,74,70-74c,600,"50,54,64,46",True,14.7
KXETH15M,KXETH15M-26JUL122000-00,no,67,65-69c,300,"62,47,59,64",True,20.61
KXETH15M,KXETH15M-26JUL121930-30,yes,67,65-69c,480,"46,58,50,58",True,20.61
KXETH15M,KXETH15M-26JUL121800-00,no,77,75-79c,420,"40,42,62,57",True,12.5
KXETH15M,KXETH15M-26JUL121645-45,yes,68,65-69c,360,"47,47,36,44",True,19.69
KXETH15M,KXETH15M-26JUL121530-30,no,70,70-74c,600,"59,57,58,63",False,-45
KXETH15M,KXETH15M-26JUL121515-15,yes,70,70-74c,540,"57,64,41,55",False,-45
KXETH15M,KXETH15M-26JUL121430-30,no,71,70-74c,600,"48,50,57,60",False,-45
KXETH15M,KXETH15M-26JUL121030-30,yes,70,70-74c,360,"64,58,60,61",True,17.94
KXETH15M,KXETH15M-26JUL120930-30,yes,78,75-79c,600,"47,38,40,43",False,-45
KXETH15M,KXETH15M-26JUL120930-30,no,74,70-74c,300,"43,48,62,57",True,14.7
KXETH15M,KXETH15M-26JUL120830-30,no,67,65-69c,600,"65,48,42,62",False,-45
KXETH15M,KXETH15M-26JUL120800-00,no,77,75-79c,480,"49,59,59,61",True,12.5
KXETH15M,KXETH15M-26JUL120715-15,yes,78,75-79c,600,"56,47,63,59",False,-45
KXETH15M,KXETH15M-26JUL120700-00,no,75,75-79c,600,"54,55,53,52",True,13.95
KXETH15M,KXETH15M-26JUL120645-45,no,67,65-69c,360,"43,40,41,59",True,20.61
KXETH15M,KXETH15M-26JUL120345-45,yes,69,65-69c,600,"49,61,56,63",True,18.8
KXETH15M,KXETH15M-26JUL120330-30,yes,84,80-85c,480,"35,61,59,49",False,-45
KXETH15M,KXETH15M-26JUL120300-00,no,68,65-69c,480,"46,41,36,52",False,-45
KXETH15M,KXETH15M-26JUL120015-15,no,66,65-69c,360,"62,59,62,62",True,21.56
KXETH15M,KXETH15M-26JUL120000-00,no,77,75-79c,420,"41,53,60,55",False,-45
KXETH15M,KXETH15M-26JUL112330-30,yes,76,75-79c,480,"47,54,50,57",True,13.22
KXETH15M,KXETH15M-26JUL112300-00,yes,72,70-74c,360,"45,44,54,60",True,16.27
KXETH15M,KXETH15M-26JUL112245-45,yes,71,70-74c,540,"42,38,49,55",False,-45
KXETH15M,KXETH15M-26JUL112100-00,no,65,65-69c,600,"40,48,65,62",False,-45
KXETH15M,KXETH15M-26JUL112100-00,yes,68,65-69c,360,"37,47,54,59",True,19.69
KXETH15M,KXETH15M-26JUL112030-30,yes,68,65-69c,600,"54,63,56,62",True,19.69
KXETH15M,KXETH15M-26JUL112000-00,yes,84,80-85c,600,"65,57,58,63",False,-45
KXETH15M,KXETH15M-26JUL111645-45,yes,66,65-69c,480,"61,63,53,52",True,21.56
KXETH15M,KXETH15M-26JUL111545-45,yes,68,65-69c,540,"62,58,50,61",True,19.69
KXETH15M,KXETH15M-26JUL111530-30,yes,66,65-69c,600,"48,53,57,58",False,-45
KXETH15M,KXETH15M-26JUL111530-30,no,65,65-69c,480,"45,43,35,56",True,22.53
KXETH15M,KXETH15M-26JUL111445-45,yes,72,70-74c,480,"60,50,64,61",True,16.27
KXETH15M,KXETH15M-26JUL111030-30,yes,74,70-74c,600,"57,40,56,57",True,14.7
KXETH15M,KXETH15M-26JUL110845-45,no,72,70-74c,600,"43,44,57,55",True,16.27
KXETH15M,KXETH15M-26JUL110815-15,yes,72,70-74c,600,"52,56,55,60",False,-45
KXETH15M,KXETH15M-26JUL110445-45,yes,68,65-69c,540,"40,49,54,53",True,19.69
