series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26JUL311045-45,95c,yes,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26JUL310930-30,92c,yes,92,300,True,2.83,True
KXBTC15M,KXBTC15M-26JUL310845-45,92c,no,92,600,True,2.83,True
KXBTC15M,KXBTC15M-26JUL310815-15,94c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26JUL310745-45,93c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26JUL310700-00,92c,yes,92,180,True,2.83,True
KXBTC15M,KXBTC15M-26JUL310645-45,94c,yes,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26JUL310630-30,91c,yes,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26JUL310615-15,93c,no,93,480,False,-35,True
KXBTC15M,KXBTC15M-26JUL310430-30,92c,no,92,480,False,-35,True
KXBTC15M,KXBTC15M-26JUL310430-30,90c,no,90,420,False,-35,True
KXBTC15M,KXBTC15M-26JUL310415-15,91c,no,91,240,False,-35,True
KXBTC15M,KXBTC15M-26JUL310415-15,92c,no,92,180,False,-35,True
KXBTC15M,KXBTC15M-26JUL310400-00,95c,yes,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26JUL310330-30,93c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26JUL310115-15,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26JUL310115-15,90c,yes,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26JUL310115-15,91c,yes,91,360,True,3.22,True
KXBTC15M,KXBTC15M-26JUL310030-30,91c,no,91,180,True,3.22,True
KXBTC15M,KXBTC15M-26JUL302345-45,91c,no,91,240,False,-35,True
KXBTC15M,KXBTC15M-26JUL302345-45,95c,no,95,180,False,-35,True
KXBTC15M,KXBTC15M-26JUL302330-30,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26JUL302315-15,95c,no,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26JUL302230-30,93c,no,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26JUL302200-00,94c,no,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26JUL302200-00,95c,no,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26JUL302145-45,95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26JUL302130-30,95c,no,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26JUL302100-00,95c,no,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26JUL301945-45,94c,yes,94,240,False,-35,True
KXBTC15M,KXBTC15M-26JUL301945-45,92c,yes,92,180,False,-35,True
KXBTC15M,KXBTC15M-26JUL301900-00,94c,no,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26JUL301815-15,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26JUL301630-30,95c,yes,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26JUL301630-30,90c,yes,90,240,True,3.62,True
KXBTC15M,KXBTC15M-26JUL301630-30,94c,yes,94,180,True,2.08,True
KXBTC15M,KXBTC15M-26JUL301615-15,90c,yes,90,540,False,-35,True
KXBTC15M,KXBTC15M-26JUL301545-45,90c,no,90,300,True,3.62,True
KXBTC15M,KXBTC15M-26JUL301545-45,92c,no,92,240,True,2.83,True
KXBTC15M,KXBTC15M-26JUL301515-15,91c,yes,91,540,True,3.22,True
KXBTC15M,KXBTC15M-26JUL301500-00,92c,no,92,240,True,2.83,True
KXBTC15M,KXBTC15M-26JUL300945-45,91c,no,91,360,False,-35,True
KXBTC15M,KXBTC15M-26JUL300945-45,90c,no,90,300,False,-35,True
KXBTC15M,KXBTC15M-26JUL300945-45,95c,no,95,240,False,-35,True
KXBTC15M,KXBTC15M-26JUL300900-00,90c,yes,90,360,True,3.62,True
KXBTC15M,KXBTC15M-26JUL300900-00,93c,yes,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26JUL300830-30,91c,no,91,420,True,3.22,True
KXBTC15M,KXBTC15M-26JUL300815-15,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26JUL300745-45,93c,yes,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26JUL300245-45,90c,no,90,360,True,3.62,True
KXBTC15M,KXBTC15M-26JUL300245-45,91c,no,91,180,True,3.22,True
KXBTC15M,KXBTC15M-26JUL300145-45,90c,yes,90,600,True,3.62,True
KXBTC15M,KXBTC15M-26JUL300145-45,91c,yes,91,420,True,3.22,True
KXBTC15M,KXBTC15M-26JUL300145-45,94c,yes,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26JUL300145-45,95c,yes,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26JUL300130-30,94c,no,94,180,False,-35,True
KXBTC15M,KXBTC15M-26JUL300000-00,94c,yes,94,240,True,2.08,True
KXETH15M,KXETH15M-26AUG052315-15,94c,no,94,240,True,2.08,True
KXETH15M,KXETH15M-26AUG052200-00,93c,yes,93,480,True,2.45,True
KXETH15M,KXETH15M-26AUG052200-00,91c,yes,91,420,True,3.22,True
KXETH15M,KXETH15M-26AUG052200-00,94c,yes,94,300,True,2.08,True
KXETH15M,KXETH15M-26AUG052145-45,93c,yes,93,360,True,2.45,True
KXETH15M,KXETH15M-26AUG052145-45,94c,yes,94,180,True,2.08,True
KXETH15M,KXETH15M-26AUG052130-30,95c,no,95,300,True,1.71,True
KXETH15M,KXETH15M-26AUG052030-30,90c,yes,90,180,True,3.62,True
KXETH15M,KXETH15M-26AUG051730-30,94c,no,94,360,True,2.08,True
KXETH15M,KXETH15M-26AUG051730-30,95c,no,95,300,True,1.71,True
KXETH15M,KXETH15M-26AUG051715-15,95c,no,95,420,True,1.71,True
KXETH15M,KXETH15M-26AUG051700-00,93c,no,93,480,True,2.45,True
KXETH15M,KXETH15M-26AUG051700-00,95c,no,95,420,True,1.71,True
KXETH15M,KXETH15M-26AUG051700-00,94c,no,94,360,True,2.08,True
KXETH15M,KXETH15M-26AUG051500-00,94c,no,94,240,True,2.08,True
KXETH15M,KXETH15M-26AUG050945-45,94c,no,94,600,False,-35,True
KXETH15M,KXETH15M-26AUG050945-45,93c,no,93,360,False,-35,True
KXETH15M,KXETH15M-26AUG050930-30,90c,yes,90,480,True,3.62,True
KXETH15M,KXETH15M-26AUG050930-30,94c,yes,94,420,True,2.08,True
KXETH15M,KXETH15M-26AUG050930-30,95c,yes,95,360,True,1.71,True
KXETH15M,KXETH15M-26AUG050845-45,91c,no,91,600,True,3.22,True
KXETH15M,KXETH15M-26AUG050845-45,93c,no,93,300,True,2.45,True
KXETH15M,KXETH15M-26AUG050715-15,92c,yes,92,360,True,2.83,True
KXETH15M,KXETH15M-26AUG050715-15,91c,yes,91,240,True,3.22,True
KXETH15M,KXETH15M-26AUG050700-00,95c,no,95,540,True,1.71,True
KXETH15M,KXETH15M-26AUG050545-45,95c,yes,95,360,True,1.71,True
KXETH15M,KXETH15M-26AUG050545-45,91c,yes,91,240,True,3.22,True
KXETH15M,KXETH15M-26AUG050545-45,94c,yes,94,180,True,2.08,True
KXETH15M,KXETH15M-26AUG050515-15,95c,yes,95,300,True,1.71,True
KXETH15M,KXETH15M-26AUG050400-00,92c,yes,92,600,True,2.83,True
KXETH15M,KXETH15M-26AUG050400-00,94c,yes,94,540,True,2.08,True
KXETH15M,KXETH15M-26AUG050330-30,95c,no,95,360,True,1.71,True
KXETH15M,KXETH15M-26AUG050245-45,91c,yes,91,300,True,3.22,True
KXETH15M,KXETH15M-26AUG050230-30,94c,no,94,300,True,2.08,True
KXETH15M,KXETH15M-26AUG050230-30,95c,no,95,240,True,1.71,True
KXETH15M,KXETH15M-26AUG050215-15,90c,no,90,360,True,3.62,True
KXETH15M,KXETH15M-26AUG050215-15,94c,no,94,300,True,2.08,True
KXETH15M,KXETH15M-26AUG050145-45,92c,no,92,480,True,2.83,True
KXETH15M,KXETH15M-26AUG050145-45,91c,no,91,420,True,3.22,True
