series,ticker,side,ask,hour_utc,secs_left,won,profit
KXBTC15M,KXBTC15M-26JUN131330-30,yes,91,17,480,True,4.14
KXBTC15M,KXBTC15M-26JUN131300-00,no,93,17,420,True,3.15
KXBTC15M,KXBTC15M-26JUN121330-30,no,92,17,240,True,3.64
KXBTC15M,KXBTC15M-26JUN121215-15,yes,95,16,300,True,2.2
KXBTC15M,KXBTC15M-26JUN121145-45,no,90,15,600,True,4.65
KXBTC15M,KXBTC15M-26JUN111345-45,yes,94,17,600,True,2.67
KXBTC15M,KXBTC15M-26JUN111145-45,yes,92,15,180,False,-45
KXETH15M,KXETH15M-26AUG091300-00,no,95,17,180,True,2.2
KXETH15M,KXETH15M-26AUG091245-45,yes,95,16,540,True,2.2
KXETH15M,KXETH15M-26AUG081345-45,yes,94,17,420,True,2.67
KXETH15M,KXETH15M-26AUG081245-45,no,91,16,300,True,4.14
KXETH15M,KXETH15M-26AUG081215-15,yes,94,16,240,True,2.67
KXETH15M,KXETH15M-26AUG081200-00,yes,94,16,360,True,2.67
KXETH15M,KXETH15M-26AUG081100-00,yes,95,15,600,True,2.2
KXETH15M,KXETH15M-26AUG071230-30,no,90,16,540,True,4.65
KXETH15M,KXETH15M-26AUG071215-15,yes,95,16,420,True,2.2
KXETH15M,KXETH15M-26AUG071200-00,no,92,16,240,True,3.64
KXETH15M,KXETH15M-26AUG071100-00,no,93,15,240,True,3.15
KXETH15M,KXETH15M-26AUG061100-00,no,94,15,300,True,2.67
KXETH15M,KXETH15M-26AUG051300-00,no,95,17,420,False,-45
KXETH15M,KXETH15M-26AUG051145-45,yes,93,15,240,True,3.15
KXETH15M,KXETH15M-26AUG051130-30,no,90,15,300,True,4.65
KXETH15M,KXETH15M-26AUG041315-15,yes,94,17,540,True,2.67
KXETH15M,KXETH15M-26AUG041200-00,yes,94,16,480,True,2.67
KXETH15M,KXETH15M-26AUG031300-00,yes,91,17,600,True,4.14
KXETH15M,KXETH15M-26AUG031115-15,no,93,15,480,True,3.15
KXETH15M,KXETH15M-26AUG021345-45,yes,94,17,360,True,2.67
KXETH15M,KXETH15M-26AUG021300-00,no,94,17,180,True,2.67
KXETH15M,KXETH15M-26AUG021245-45,yes,90,16,600,True,4.65
KXETH15M,KXETH15M-26AUG021230-30,yes,95,16,240,True,2.2
KXETH15M,KXETH15M-26AUG021200-00,no,91,16,360,True,4.14
KXETH15M,KXETH15M-26AUG021145-45,yes,93,15,300,True,3.15
KXETH15M,KXETH15M-26AUG011300-00,no,91,17,480,True,4.14
KXETH15M,KXETH15M-26AUG011130-30,no,90,15,420,True,4.65
KXETH15M,KXETH15M-26JUL311345-45,yes,95,17,420,True,2.2
KXETH15M,KXETH15M-26JUL311245-45,no,92,16,240,True,3.64
KXETH15M,KXETH15M-26JUL311100-00,yes,91,15,480,True,4.14
KXETH15M,KXETH15M-26JUL301330-30,yes,95,17,420,True,2.2
KXETH15M,KXETH15M-26JUL301300-00,yes,95,17,300,True,2.2
KXETH15M,KXETH15M-26JUL301230-30,no,93,16,180,True,3.15
KXETH15M,KXETH15M-26JUL301215-15,yes,94,16,480,True,2.67
KXETH15M,KXETH15M-26JUL301130-30,yes,95,15,420,True,2.2
KXETH15M,KXETH15M-26JUL291300-00,yes,90,17,540,True,4.65
KXETH15M,KXETH15M-26JUL291245-45,no,92,16,360,True,3.64
KXETH15M,KXETH15M-26JUL281300-00,yes,95,17,300,True,2.2
KXETH15M,KXETH15M-26JUL271315-15,no,91,17,300,True,4.14
KXETH15M,KXETH15M-26JUL271245-45,yes,94,16,360,True,2.67
KXETH15M,KXETH15M-26JUL271100-00,yes,92,15,420,True,3.64
KXETH15M,KXETH15M-26JUL261230-30,yes,93,16,540,True,3.15
KXETH15M,KXETH15M-26JUL261215-15,no,94,16,420,True,2.67
KXETH15M,KXETH15M-26JUL251300-00,no,93,17,300,True,3.15
KXETH15M,KXETH15M-26JUL251245-45,yes,93,16,360,True,3.15
KXETH15M,KXETH15M-26JUL251230-30,no,94,16,420,True,2.67
KXETH15M,KXETH15M-26JUL251215-15,no,90,16,180,True,4.65
KXETH15M,KXETH15M-26JUL251200-00,no,90,16,420,True,4.65
KXETH15M,KXETH15M-26JUL251145-45,yes,93,15,180,True,3.15
KXETH15M,KXETH15M-26JUL241330-30,yes,92,17,420,True,3.64
KXETH15M,KXETH15M-26JUL241315-15,no,95,17,240,True,2.2
KXETH15M,KXETH15M-26JUL241245-45,no,92,16,480,True,3.64
KXETH15M,KXETH15M-26JUL241200-00,no,91,16,240,True,4.14
KXETH15M,KXETH15M-26JUL241115-15,no,90,15,240,True,4.65
KXETH15M,KXETH15M-26JUL231345-45,no,91,17,360,True,4.14
KXETH15M,KXETH15M-26JUL231230-30,no,92,16,480,True,3.64
KXETH15M,KXETH15M-26JUL231200-00,yes,90,16,420,True,4.65
KXETH15M,KXETH15M-26JUL221345-45,yes,94,17,360,True,2.67
KXETH15M,KXETH15M-26JUL221330-30,no,94,17,480,True,2.67
KXETH15M,KXETH15M-26JUL221145-45,no,95,15,420,True,2.2
KXETH15M,KXETH15M-26JUL221130-30,yes,95,15,420,True,2.2
KXETH15M,KXETH15M-26JUL221115-15,yes,93,15,480,True,3.15
KXETH15M,KXETH15M-26JUL211230-30,no,95,16,300,True,2.2
KXETH15M,KXETH15M-26JUL211115-15,no,93,15,600,True,3.15
KXETH15M,KXETH15M-26JUL201345-45,no,90,17,180,True,4.65
KXETH15M,KXETH15M-26JUL201215-15,no,94,16,360,False,-45
KXETH15M,KXETH15M-26JUL201200-00,yes,94,16,480,True,2.67
KXETH15M,KXETH15M-26JUL201115-15,yes,95,15,600,True,2.2
KXETH15M,KXETH15M-26JUL191345-45,yes,92,17,480,False,-45
KXETH15M,KXETH15M-26JUL191245-45,no,95,16,360,True,2.2
KXETH15M,KXETH15M-26JUL191130-30,no,94,15,360,True,2.67
KXETH15M,KXETH15M-26JUL191100-00,yes,91,15,540,True,4.14
KXETH15M,KXETH15M-26JUL181345-45,yes,92,17,540,True,3.64
KXETH15M,KXETH15M-26JUL181330-30,no,94,17,240,True,2.67
KXETH15M,KXETH15M-26JUL171130-30,yes,93,15,300,True,3.15
KXETH15M,KXETH15M-26JUL171115-15,no,90,15,360,True,4.65
KXETH15M,KXETH15M-26JUL161315-15,no,91,17,540,True,4.14
KXETH15M,KXETH15M-26JUL161215-15,no,94,16,420,True,2.67
KXETH15M,KXETH15M-26JUL161130-30,yes,95,15,540,True,2.2
KXETH15M,KXETH15M-26JUL161115-15,no,95,15,420,True,2.2
KXETH15M,KXETH15M-26JUL151315-15,yes,93,17,240,True,3.15
KXETH15M,KXETH15M-26JUL151300-00,yes,95,17,420,True,2.2
KXETH15M,KXETH15M-26JUL151215-15,no,95,16,540,True,2.2
KXETH15M,KXETH15M-26JUL151100-00,yes,91,15,180,True,4.14
KXETH15M,KXETH15M-26JUL131245-45,no,95,16,420,False,-45
KXETH15M,KXETH15M-26JUL131230-30,no,94,16,480,True,2.67
KXETH15M,KXETH15M-26JUL131145-45,no,94,15,420,True,2.67
KXETH15M,KXETH15M-26JUL131115-15,no,93,15,180,True,3.15
KXETH15M,KXETH15M-26JUL121245-45,no,93,16,480,True,3.15
KXETH15M,KXETH15M-26JUL121230-30,yes,93,16,480,True,3.15
KXETH15M,KXETH15M-26JUL121200-00,yes,92,16,360,False,-45
KXETH15M,KXETH15M-26JUL121145-45,no,94,15,420,True,2.67
KXETH15M,KXETH15M-26JUL121130-30,no,92,15,420,False,-45
KXETH15M,KXETH15M-26JUL121100-00,yes,95,15,600,True,2.2
KXETH15M,KXETH15M-26JUL111345-45,yes,91,17,540,True,4.14
KXETH15M,KXETH15M-26JUL111300-00,yes,92,17,300,True,3.64
KXETH15M,KXETH15M-26JUL111215-15,no,94,16,240,True,2.67
