series,ticker,side,ask,secs_left,won,profit
KXBTC15M,KXBTC15M-26AUG072000-00,yes,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG071900-00,yes,91,180,True,4.14
KXBTC15M,KXBTC15M-26AUG071845-45,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG071800-00,no,92,480,True,3.64
KXBTC15M,KXBTC15M-26AUG071730-30,no,93,420,False,-45
KXBTC15M,KXBTC15M-26AUG071530-30,yes,93,480,True,3.15
KXBTC15M,KXBTC15M-26AUG071515-15,yes,93,540,True,3.15
KXBTC15M,KXBTC15M-26AUG071445-45,no,93,180,True,3.15
KXBTC15M,KXBTC15M-26AUG071430-30,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26AUG071415-15,yes,90,600,True,4.65
KXBTC15M,KXBTC15M-26AUG071015-15,no,92,420,True,3.64
KXBTC15M,KXBTC15M-26AUG070945-45,yes,91,540,True,4.14
KXBTC15M,KXBTC15M-26AUG070900-00,yes,93,480,True,3.15
KXBTC15M,KXBTC15M-26AUG070500-00,no,93,240,True,3.15
KXBTC15M,KXBTC15M-26AUG070430-30,yes,93,300,True,3.15
KXBTC15M,KXBTC15M-26AUG070300-00,no,91,480,True,4.14
KXBTC15M,KXBTC15M-26AUG070145-45,yes,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG070100-00,no,93,300,True,3.15
KXBTC15M,KXBTC15M-26AUG062200-00,yes,92,180,True,3.64
KXBTC15M,KXBTC15M-26AUG062115-15,yes,91,600,True,4.14
KXBTC15M,KXBTC15M-26AUG061945-45,no,93,180,True,3.15
KXBTC15M,KXBTC15M-26AUG061715-15,yes,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG061630-30,no,93,300,True,3.15
KXBTC15M,KXBTC15M-26AUG061445-45,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG061415-15,no,92,600,True,3.64
KXBTC15M,KXBTC15M-26AUG060800-00,no,93,300,True,3.15
KXBTC15M,KXBTC15M-26AUG060730-30,yes,90,480,True,4.65
KXBTC15M,KXBTC15M-26AUG060715-15,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG060630-30,yes,93,420,True,3.15
KXBTC15M,KXBTC15M-26AUG060615-15,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26AUG060545-45,no,90,300,True,4.65
KXBTC15M,KXBTC15M-26AUG060530-30,yes,93,480,False,-45
KXBTC15M,KXBTC15M-26AUG052230-30,no,91,480,True,4.14
KXBTC15M,KXBTC15M-26AUG052200-00,yes,90,540,True,4.65
KXBTC15M,KXBTC15M-26AUG052145-45,yes,90,300,True,4.65
KXBTC15M,KXBTC15M-26AUG052130-30,no,91,360,True,4.14
KXBTC15M,KXBTC15M-26AUG051700-00,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26AUG051500-00,no,92,180,True,3.64
KXBTC15M,KXBTC15M-26AUG051445-45,yes,93,180,True,3.15
KXBTC15M,KXBTC15M-26AUG051415-15,no,93,180,False,-45
KXBTC15M,KXBTC15M-26AUG050945-45,no,93,540,False,-45
KXBTC15M,KXBTC15M-26AUG050930-30,yes,90,420,True,4.65
KXBTC15M,KXBTC15M-26AUG050845-45,no,91,180,True,4.14
KXBTC15M,KXBTC15M-26AUG050830-30,yes,92,480,True,3.64
KXBTC15M,KXBTC15M-26AUG050545-45,yes,91,180,True,4.14
KXBTC15M,KXBTC15M-26AUG050515-15,yes,92,240,True,3.64
KXBTC15M,KXBTC15M-26AUG050215-15,no,92,300,True,3.64
KXBTC15M,KXBTC15M-26AUG050145-45,no,93,420,True,3.15
KXBTC15M,KXBTC15M-26AUG050045-45,yes,91,360,True,4.14
KXBTC15M,KXBTC15M-26AUG042215-15,yes,90,480,True,4.65
KXBTC15M,KXBTC15M-26AUG042145-45,yes,92,420,True,3.64
KXBTC15M,KXBTC15M-26AUG042130-30,yes,90,180,True,4.65
KXBTC15M,KXBTC15M-26AUG042045-45,yes,92,600,True,3.64
KXBTC15M,KXBTC15M-26AUG042000-00,no,92,420,True,3.64
KXBTC15M,KXBTC15M-26AUG041830-30,no,91,300,False,-45
KXBTC15M,KXBTC15M-26AUG041700-00,no,93,420,True,3.15
KXBTC15M,KXBTC15M-26AUG041645-45,yes,93,480,True,3.15
KXBTC15M,KXBTC15M-26AUG041630-30,no,91,360,True,4.14
KXBTC15M,KXBTC15M-26AUG041615-15,no,93,600,True,3.15
KXBTC15M,KXBTC15M-26AUG041000-00,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26AUG040815-15,no,90,420,True,4.65
KXBTC15M,KXBTC15M-26AUG040800-00,yes,93,420,True,3.15
KXBTC15M,KXBTC15M-26AUG040615-15,no,90,420,True,4.65
KXBTC15M,KXBTC15M-26AUG040445-45,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26AUG040430-30,no,92,420,True,3.64
KXBTC15M,KXBTC15M-26AUG040400-00,yes,91,600,True,4.14
KXBTC15M,KXBTC15M-26AUG040345-45,yes,91,540,True,4.14
KXBTC15M,KXBTC15M-26AUG040300-00,no,93,300,True,3.15
KXBTC15M,KXBTC15M-26AUG040200-00,no,92,240,True,3.64
KXBTC15M,KXBTC15M-26AUG040045-45,yes,91,420,True,4.14
KXBTC15M,KXBTC15M-26AUG040030-30,yes,92,480,True,3.64
KXBTC15M,KXBTC15M-26AUG032345-45,yes,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG032215-15,no,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG032145-45,yes,90,540,True,4.65
KXBTC15M,KXBTC15M-26AUG032115-15,yes,92,480,True,3.64
KXBTC15M,KXBTC15M-26AUG031945-45,no,91,540,True,4.14
KXBTC15M,KXBTC15M-26AUG031900-00,yes,92,480,True,3.64
KXBTC15M,KXBTC15M-26AUG031830-30,yes,91,180,True,4.14
KXBTC15M,KXBTC15M-26AUG031715-15,no,92,420,True,3.64
KXBTC15M,KXBTC15M-26AUG031630-30,yes,90,420,True,4.65
KXBTC15M,KXBTC15M-26AUG031430-30,no,90,420,True,4.65
KXBTC15M,KXBTC15M-26AUG030930-30,yes,93,240,False,-45
KXBTC15M,KXBTC15M-26AUG030815-15,no,91,300,True,4.14
KXBTC15M,KXBTC15M-26AUG030800-00,no,91,360,True,4.14
KXBTC15M,KXBTC15M-26AUG030745-45,yes,90,420,False,-45
KXBTC15M,KXBTC15M-26AUG030715-15,no,92,540,True,3.64
KXBTC15M,KXBTC15M-26AUG030645-45,no,92,480,True,3.64
KXBTC15M,KXBTC15M-26AUG030615-15,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG030600-00,yes,92,540,True,3.64
KXBTC15M,KXBTC15M-26AUG030230-30,no,91,300,True,4.14
KXBTC15M,KXBTC15M-26AUG030030-30,yes,92,480,True,3.64
KXBTC15M,KXBTC15M-26AUG030000-00,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26AUG022245-45,yes,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG022115-15,no,90,180,True,4.65
KXBTC15M,KXBTC15M-26AUG021815-15,yes,92,540,True,3.64
KXBTC15M,KXBTC15M-26AUG021700-00,yes,91,600,True,4.14
KXBTC15M,KXBTC15M-26AUG021500-00,no,93,480,True,3.15
KXBTC15M,KXBTC15M-26AUG021030-30,yes,90,480,True,4.65
KXBTC15M,KXBTC15M-26AUG021015-15,no,90,240,True,4.65
KXBTC15M,KXBTC15M-26AUG020930-30,no,91,420,True,4.14
KXBTC15M,KXBTC15M-26AUG020830-30,yes,91,180,True,4.14
KXBTC15M,KXBTC15M-26AUG020815-15,yes,90,600,True,4.65
KXBTC15M,KXBTC15M-26AUG020545-45,yes,93,600,True,3.15
KXBTC15M,KXBTC15M-26AUG020515-15,no,90,540,False,-45
KXBTC15M,KXBTC15M-26AUG020400-00,no,91,600,True,4.14
KXBTC15M,KXBTC15M-26AUG020245-45,no,93,240,True,3.15
KXBTC15M,KXBTC15M-26AUG020015-15,yes,93,600,True,3.15
KXBTC15M,KXBTC15M-26AUG012345-45,yes,91,300,True,4.14
KXBTC15M,KXBTC15M-26AUG012145-45,yes,91,360,True,4.14
KXBTC15M,KXBTC15M-26AUG012045-45,no,90,240,True,4.65
KXBTC15M,KXBTC15M-26AUG011930-30,no,92,420,True,3.64
KXBTC15M,KXBTC15M-26AUG011730-30,yes,92,180,True,3.64
KXBTC15M,KXBTC15M-26AUG011715-15,yes,93,600,True,3.15
KXBTC15M,KXBTC15M-26AUG011700-00,yes,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG011630-30,yes,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG011600-00,yes,90,360,True,4.65
KXBTC15M,KXBTC15M-26AUG011530-30,no,91,300,True,4.14
KXBTC15M,KXBTC15M-26AUG011445-45,no,93,420,True,3.15
KXBTC15M,KXBTC15M-26AUG011030-30,yes,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG011015-15,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26AUG010845-45,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26AUG010815-15,yes,92,540,True,3.64
KXBTC15M,KXBTC15M-26AUG010515-15,no,90,240,True,4.65
KXBTC15M,KXBTC15M-26AUG010415-15,yes,93,540,True,3.15
KXBTC15M,KXBTC15M-26AUG010330-30,no,90,420,True,4.65
KXBTC15M,KXBTC15M-26AUG010215-15,no,93,240,True,3.15
KXBTC15M,KXBTC15M-26AUG010130-30,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26AUG010030-30,yes,93,300,True,3.15
KXBTC15M,KXBTC15M-26JUL312230-30,yes,93,360,True,3.15
KXBTC15M,KXBTC15M-26JUL312215-15,yes,90,240,True,4.65
KXBTC15M,KXBTC15M-26JUL312015-15,yes,90,540,True,4.65
KXBTC15M,KXBTC15M-26JUL312000-00,no,92,600,True,3.64
KXBTC15M,KXBTC15M-26JUL311915-15,yes,92,420,True,3.64
KXBTC15M,KXBTC15M-26JUL311845-45,no,91,300,True,4.14
KXBTC15M,KXBTC15M-26JUL311515-15,no,93,240,True,3.15
KXBTC15M,KXBTC15M-26JUL311400-00,yes,90,540,True,4.65
KXBTC15M,KXBTC15M-26JUL311045-45,yes,92,420,True,3.64
KXBTC15M,KXBTC15M-26JUL310930-30,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL310845-45,no,92,600,True,3.64
KXBTC15M,KXBTC15M-26JUL310745-45,no,93,240,True,3.15
KXBTC15M,KXBTC15M-26JUL310700-00,yes,92,180,True,3.64
KXBTC15M,KXBTC15M-26JUL310630-30,yes,91,300,True,4.14
KXBTC15M,KXBTC15M-26JUL310615-15,no,93,480,False,-45
KXBTC15M,KXBTC15M-26JUL310430-30,no,92,480,False,-45
KXBTC15M,KXBTC15M-26JUL310415-15,no,91,240,False,-45
KXBTC15M,KXBTC15M-26JUL310330-30,no,93,240,True,3.15
KXBTC15M,KXBTC15M-26JUL310115-15,yes,92,540,True,3.64
KXBTC15M,KXBTC15M-26JUL310030-30,no,91,180,True,4.14
KXBTC15M,KXBTC15M-26JUL302345-45,no,91,240,False,-45
KXBTC15M,KXBTC15M-26JUL302330-30,yes,92,540,True,3.64
KXBTC15M,KXBTC15M-26JUL302230-30,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26JUL301945-45,yes,92,180,False,-45
KXBTC15M,KXBTC15M-26JUL301630-30,yes,90,240,True,4.65
KXBTC15M,KXBTC15M-26JUL301615-15,yes,90,540,False,-45
KXBTC15M,KXBTC15M-26JUL301545-45,no,90,300,True,4.65
KXBTC15M,KXBTC15M-26JUL301515-15,yes,91,540,True,4.14
KXBTC15M,KXBTC15M-26JUL301500-00,no,92,240,True,3.64
KXBTC15M,KXBTC15M-26JUL300945-45,no,91,360,False,-45
KXBTC15M,KXBTC15M-26JUL300900-00,yes,90,360,True,4.65
KXBTC15M,KXBTC15M-26JUL300830-30,no,91,420,True,4.14
KXBTC15M,KXBTC15M-26JUL300745-45,yes,93,300,True,3.15
KXBTC15M,KXBTC15M-26JUL300245-45,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26JUL300145-45,yes,90,600,True,4.65
KXBTC15M,KXBTC15M-26JUL292200-00,yes,92,600,True,3.64
KXBTC15M,KXBTC15M-26JUL291930-30,yes,92,420,True,3.64
KXBTC15M,KXBTC15M-26JUL291900-00,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26JUL291845-45,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26JUL291715-15,no,90,480,True,4.65
KXBTC15M,KXBTC15M-26JUL291600-00,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26JUL291500-00,yes,93,240,True,3.15
KXBTC15M,KXBTC15M-26JUL291415-15,yes,92,420,True,3.64
KXBTC15M,KXBTC15M-26JUL290930-30,no,91,480,True,4.14
KXBTC15M,KXBTC15M-26JUL290830-30,no,93,600,True,3.15
KXBTC15M,KXBTC15M-26JUL290800-00,yes,90,420,True,4.65
KXBTC15M,KXBTC15M-26JUL290345-45,no,93,480,True,3.15
KXBTC15M,KXBTC15M-26JUL290130-30,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26JUL282300-00,no,90,420,True,4.65
KXBTC15M,KXBTC15M-26JUL282045-45,yes,90,240,True,4.65
KXBTC15M,KXBTC15M-26JUL282015-15,yes,92,420,True,3.64
KXBTC15M,KXBTC15M-26JUL282000-00,yes,92,540,True,3.64
KXBTC15M,KXBTC15M-26JUL281915-15,no,92,540,True,3.64
KXBTC15M,KXBTC15M-26JUL281900-00,no,90,240,True,4.65
KXBTC15M,KXBTC15M-26JUL281845-45,no,91,180,True,4.14
KXBTC15M,KXBTC15M-26JUL281415-15,yes,90,600,True,4.65
KXBTC15M,KXBTC15M-26JUL281400-00,yes,90,360,True,4.65
KXBTC15M,KXBTC15M-26JUL281030-30,no,92,600,False,-45
KXBTC15M,KXBTC15M-26JUL281015-15,yes,93,360,True,3.15
KXBTC15M,KXBTC15M-26JUL280900-00,yes,93,300,True,3.15
KXBTC15M,KXBTC15M-26JUL280800-00,yes,92,540,True,3.64
KXBTC15M,KXBTC15M-26JUL280630-30,yes,92,480,True,3.64
KXBTC15M,KXBTC15M-26JUL280615-15,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26JUL280515-15,yes,92,180,True,3.64
KXBTC15M,KXBTC15M-26JUL280315-15,no,92,360,True,3.64
KXBTC15M,KXBTC15M-26JUL280130-30,yes,91,540,True,4.14
KXBTC15M,KXBTC15M-26JUL280115-15,yes,93,600,True,3.15
KXBTC15M,KXBTC15M-26JUL280045-45,no,91,360,True,4.14
KXBTC15M,KXBTC15M-26JUL280000-00,no,91,240,True,4.14
KXBTC15M,KXBTC15M-26JUL272100-00,no,90,480,True,4.65
KXBTC15M,KXBTC15M-26JUL272030-30,yes,90,480,True,4.65
KXBTC15M,KXBTC15M-26JUL272000-00,yes,92,240,True,3.64
KXBTC15M,KXBTC15M-26JUL271915-15,no,92,180,True,3.64
KXBTC15M,KXBTC15M-26JUL271545-45,yes,93,240,True,3.15
KXBTC15M,KXBTC15M-26JUL271445-45,no,92,480,True,3.64
KXBTC15M,KXBTC15M-26JUL271430-30,no,91,600,True,4.14
KXBTC15M,KXBTC15M-26JUL271045-45,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26JUL270845-45,no,92,600,False,-45
KXBTC15M,KXBTC15M-26JUL270800-00,no,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL270715-15,no,92,540,True,3.64
KXBTC15M,KXBTC15M-26JUL270700-00,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26JUL270300-00,no,92,480,True,3.64
KXBTC15M,KXBTC15M-26JUL270245-45,yes,93,420,True,3.15
KXBTC15M,KXBTC15M-26JUL270045-45,yes,93,240,True,3.15
KXBTC15M,KXBTC15M-26JUL270030-30,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL270015-15,yes,90,480,True,4.65
KXBTC15M,KXBTC15M-26JUL270000-00,no,93,300,True,3.15
KXBTC15M,KXBTC15M-26JUL262200-00,yes,91,420,True,4.14
KXBTC15M,KXBTC15M-26JUL262115-15,yes,92,480,False,-45
KXBTC15M,KXBTC15M-26JUL262030-30,no,92,480,True,3.64
KXBTC15M,KXBTC15M-26JUL261600-00,no,90,300,True,4.65
KXBTC15M,KXBTC15M-26JUL261500-00,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL261445-45,yes,93,180,True,3.15
KXBTC15M,KXBTC15M-26JUL261045-45,yes,92,240,True,3.64
KXBTC15M,KXBTC15M-26JUL260930-30,yes,90,600,True,4.65
KXBTC15M,KXBTC15M-26JUL260915-15,no,92,480,True,3.64
KXBTC15M,KXBTC15M-26JUL260900-00,no,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL260830-30,no,92,480,True,3.64
KXBTC15M,KXBTC15M-26JUL260800-00,yes,90,240,True,4.65
KXBTC15M,KXBTC15M-26JUL260700-00,no,92,480,True,3.64
KXBTC15M,KXBTC15M-26JUL260645-45,yes,92,360,True,3.64
KXBTC15M,KXBTC15M-26JUL260615-15,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26JUL260530-30,yes,90,480,True,4.65
KXBTC15M,KXBTC15M-26JUL260515-15,yes,90,180,True,4.65
KXBTC15M,KXBTC15M-26JUL260145-45,no,93,240,True,3.15
KXBTC15M,KXBTC15M-26JUL252015-15,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL251800-00,yes,90,600,True,4.65
KXBTC15M,KXBTC15M-26JUL251645-45,no,92,240,True,3.64
KXBTC15M,KXBTC15M-26JUL251415-15,yes,91,480,True,4.14
KXBTC15M,KXBTC15M-26JUL251045-45,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL250645-45,no,90,300,True,4.65
KXBTC15M,KXBTC15M-26JUL250445-45,no,92,240,True,3.64
KXBTC15M,KXBTC15M-26JUL250215-15,yes,93,240,True,3.15
KXBTC15M,KXBTC15M-26JUL250030-30,no,90,180,True,4.65
KXBTC15M,KXBTC15M-26JUL250000-00,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26JUL242115-15,yes,92,480,False,-45
KXBTC15M,KXBTC15M-26JUL242000-00,no,90,240,True,4.65
KXBTC15M,KXBTC15M-26JUL241545-45,yes,92,240,True,3.64
KXBTC15M,KXBTC15M-26JUL241530-30,yes,91,360,True,4.14
KXBTC15M,KXBTC15M-26JUL241500-00,yes,93,480,True,3.15
KXBTC15M,KXBTC15M-26JUL241430-30,no,90,240,True,4.65
KXBTC15M,KXBTC15M-26JUL240930-30,yes,90,540,True,4.65
KXBTC15M,KXBTC15M-26JUL240900-00,no,92,420,True,3.64
KXBTC15M,KXBTC15M-26JUL240745-45,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26JUL240730-30,yes,90,300,True,4.65
KXBTC15M,KXBTC15M-26JUL240715-15,yes,91,480,True,4.14
KXBTC15M,KXBTC15M-26JUL240615-15,no,91,240,True,4.14
KXBTC15M,KXBTC15M-26JUL240530-30,no,92,240,True,3.64
KXBTC15M,KXBTC15M-26JUL240415-15,no,91,480,True,4.14
KXBTC15M,KXBTC15M-26JUL240315-15,yes,92,540,True,3.64
KXBTC15M,KXBTC15M-26JUL240245-45,yes,93,180,True,3.15
KXBTC15M,KXBTC15M-26JUL240230-30,yes,90,420,True,4.65
KXBTC15M,KXBTC15M-26JUL240145-45,no,90,480,True,4.65
KXBTC15M,KXBTC15M-26JUL232230-30,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26JUL232115-15,yes,91,420,True,4.14
KXBTC15M,KXBTC15M-26JUL232100-00,yes,93,540,True,3.15
KXBTC15M,KXBTC15M-26JUL231945-45,yes,93,360,True,3.15
KXBTC15M,KXBTC15M-26JUL231800-00,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL231615-15,yes,93,540,True,3.15
KXBTC15M,KXBTC15M-26JUL231500-00,yes,93,480,True,3.15
KXBTC15M,KXBTC15M-26JUL230815-15,no,92,180,True,3.64
KXBTC15M,KXBTC15M-26JUL230715-15,no,90,420,True,4.65
KXBTC15M,KXBTC15M-26JUL222315-15,no,90,300,True,4.65
KXBTC15M,KXBTC15M-26JUL222130-30,no,91,540,True,4.14
KXBTC15M,KXBTC15M-26JUL222115-15,yes,92,420,False,-45
KXBTC15M,KXBTC15M-26JUL222000-00,yes,93,360,True,3.15
KXBTC15M,KXBTC15M-26JUL221845-45,no,92,420,True,3.64
KXBTC15M,KXBTC15M-26JUL221045-45,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL221030-30,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26JUL220930-30,no,92,240,True,3.64
KXBTC15M,KXBTC15M-26JUL220845-45,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26JUL220700-00,yes,91,600,True,4.14
KXBTC15M,KXBTC15M-26JUL220345-45,no,93,480,True,3.15
KXBTC15M,KXBTC15M-26JUL220245-45,yes,90,540,True,4.65
KXBTC15M,KXBTC15M-26JUL220230-30,no,92,360,True,3.64
KXBTC15M,KXBTC15M-26JUL220100-00,no,93,480,True,3.15
KXBTC15M,KXBTC15M-26JUL220030-30,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL212330-30,yes,90,420,True,4.65
KXBTC15M,KXBTC15M-26JUL212245-45,no,91,240,True,4.14
KXBTC15M,KXBTC15M-26JUL212200-00,yes,93,600,True,3.15
KXBTC15M,KXBTC15M-26JUL212100-00,no,91,360,True,4.14
KXBTC15M,KXBTC15M-26JUL212015-15,yes,93,240,True,3.15
KXBTC15M,KXBTC15M-26JUL211945-45,yes,91,360,True,4.14
KXBTC15M,KXBTC15M-26JUL211930-30,yes,93,360,True,3.15
KXBTC15M,KXBTC15M-26JUL211845-45,yes,91,360,True,4.14
KXBTC15M,KXBTC15M-26JUL211830-30,no,93,420,True,3.15
KXBTC15M,KXBTC15M-26JUL211815-15,no,90,180,True,4.65
KXBTC15M,KXBTC15M-26JUL211730-30,no,91,360,True,4.14
KXBTC15M,KXBTC15M-26JUL211715-15,no,91,300,True,4.14
KXBTC15M,KXBTC15M-26JUL211645-45,yes,92,420,True,3.64
KXBTC15M,KXBTC15M-26JUL211630-30,no,92,300,True,3.64
KXBTC15M,KXBTC15M-26JUL211530-30,yes,91,540,True,4.14
KXBTC15M,KXBTC15M-26JUL211515-15,yes,93,180,False,-45
