series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG042015-15,90-95c,no,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG042000-00,90-95c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG041830-30,90-95c,no,91,300,False,-35,True
KXBTC15M,KXBTC15M-26AUG041700-00,90-95c,no,93,420,True,2.45,True
KXBTC15M,KXBTC15M-26AUG041645-45,80-84c,yes,82,600,True,7.15,True
KXBTC15M,KXBTC15M-26AUG041645-45,85-89c,yes,89,540,True,4.02,True
KXBTC15M,KXBTC15M-26AUG041645-45,90-95c,yes,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG041630-30,90-95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26AUG041615-15,90-95c,no,93,600,True,2.45,True
KXBTC15M,KXBTC15M-26AUG041600-00,85-89c,no,88,480,True,4.44,True
KXBTC15M,KXBTC15M-26AUG041515-15,90-95c,yes,94,180,True,2.08,True
KXBTC15M,KXBTC15M-26AUG041430-30,90-95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG041415-15,90-95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG041000-00,85-89c,no,88,600,True,4.44,True
KXBTC15M,KXBTC15M-26AUG041000-00,90-95c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG040915-15,85-89c,yes,88,300,True,4.44,True
KXBTC15M,KXBTC15M-26AUG040915-15,90-95c,yes,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26AUG040815-15,80-84c,no,84,540,True,6.2,True
KXBTC15M,KXBTC15M-26AUG040815-15,90-95c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG040800-00,90-95c,yes,93,420,True,2.45,True
KXBTC15M,KXBTC15M-26AUG040700-00,90-95c,yes,94,600,True,2.08,True
KXBTC15M,KXBTC15M-26AUG040615-15,85-89c,no,88,480,True,4.44,True
KXBTC15M,KXBTC15M-26AUG040615-15,90-95c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG040545-45,80-84c,no,83,240,True,6.67,True
KXBTC15M,KXBTC15M-26AUG040545-45,75-79c,no,77,180,True,9.72,True
KXBTC15M,KXBTC15M-26AUG040530-30,80-84c,no,81,540,True,7.64,True
KXBTC15M,KXBTC15M-26AUG040530-30,75-79c,no,78,480,True,9.18,True
KXBTC15M,KXBTC15M-26AUG040445-45,90-95c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG040445-45,85-89c,no,87,420,True,4.86,True
KXBTC15M,KXBTC15M-26AUG040445-45,80-84c,no,84,300,True,6.2,True
KXBTC15M,KXBTC15M-26AUG040430-30,85-89c,no,88,480,True,4.44,True
KXBTC15M,KXBTC15M-26AUG040430-30,90-95c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG040400-00,90-95c,yes,91,600,True,3.22,True
KXBTC15M,KXBTC15M-26AUG040400-00,85-89c,yes,88,540,True,4.44,True
